,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar
0 h ,-1.333,293.667,-292.333,-1780,1062,718,-178,161,17,88.333,-226.667,138.333,-3195,1934,1261,734.667,-1921.333,1186.667,572.667,-810.333,237.667,-975.333,1561.667,-586.333,212,-204,-8,-894.667,-620.667,1515.333,-489,224,265,451,-16,-435,-210,1595,-1385,-615,622,-7,459.667,1100.667,-1560.333,3,246,-249,-525.333,279.667,245.667,110.667,-109.333,-1.333,-1450.667,1453.333,-2.667
0 h 10 min,-11513.333,-11443.333,-11696.333,-3183,-6696,-8350,-9983,-9355,-9385,-9467.667,-9832.667,-9900.667,-8468,-8584,-8414,-10294.333,-10756.333,-9348.333,-10073.333,-11296.333,-9988.333,-9195.333,-6963.333,-9178.333,-9402,-8975,-9591,-11649.667,-9198.667,-10294.667,-12082,-12158,-10884,-10155,-10346,-10134,-9762,-7838,-9430,-10478,-8405,-9760,-9273.333,-7982.333,-9118.333,-9357,-9841,-9776,-8367.333,-8252.333,-7922.333,-8304.333,-9155.333,-8863.333,-11683.667,-9360.667,-9929.667
0 h 20 min,-11063.333,-10717.333,-11078.333,-6214,-4625,-4207,-2851,-3680,-2927,-7171.667,-7461.667,-7077.667,-2806,-2460,-2040,-6229.333,-7887.333,-5479.333,-7642.333,-8952.333,-5961.333,-1342.333,1796.667,-3355.333,-4199,-2670,-4887,-10312.667,-10028.667,-8439.667,-11822,-12032,-11093,-9409,-9518,-9265,-9413,-6959,-10379,-5039,-2087,-5045,-5127.333,-4610.333,-6669.333,-7619,-7308,-8019,-2195.333,-3409.333,-2795.333,-4689.333,-4970.333,-5553.333,-10814.667,-7248.667,-8699.667
0 h 30 min,-10517.333,-10162.333,-10670.333,2463,2710,4731,9267,6473,7956,-2888.667,-4053.667,-3661.667,6913,8495,8050,827.667,-1595.333,2096.667,-3047.333,-5357.333,1092.667,12081.667,18364.667,6760.667,4584,7938,3217,-7647.667,-7015.667,-5332.667,-11771,-11587,-10855,-8696,-8581,-8339,-8303,-6716,-9523,4143,7072,4111,2866.667,3201.667,-798.333,-4114,-3425,-4141,7653.667,5222.667,7174.667,2426.667,2478.667,322.667,-7961.667,-3579.667,-5696.667
0 h 40 min,-9496.333,-9267.333,-9293.333,13795,14466,17629,25026,20493,23328,2156.333,776.333,1975.333,22217,25219,22152,11839.667,8984.667,14134.667,2051.667,525.667,10199.667,33484.667,39003.667,19809.667,17201,24595,16200,-1673.667,-2958.667,761.333,-10548,-10629,-9499,-8006,-8242,-7774,-7524,-5384,-8757,17515,21774,18967,14879.667,14057.667,8786.667,1063,2350,954,21747.667,17855.667,21668.667,14115.667,14752.667,10561.667,-2828.667,1901.333,-1422.667
0 h 50 min,-8689.333,-8518.333,-8644.333,33781,29519,34882,44977,38875,44131,8284.333,6677.333,7881.333,43129,47314,39255,25631.667,22325.667,27078.667,8687.667,7510.667,19792.667,57606.667,61214.667,38277.667,34904,45027,33590,4597.333,2063.333,7569.333,-9930,-9844,-8887,-7097,-7490,-7131,-6827,-4429,-8067,34607,38089,38915,28952.667,27995.667,20084.667,7479,8974,6799,40759.667,33064.667,41659.667,28732.667,30762.667,26055.667,2861.333,8454.333,4141.333
1 h ,-8112.333,-7846.333,-7769.333,55958,49307,58211,67704,62180,68113,16603.333,14331.333,16964.333,70146,73578,61683,40620.667,38446.667,42147.667,18593.667,16056.667,33021.667,92383.667,95968.667,61251.667,56414,70025,55002,11195.333,8069.333,14440.333,-9613,-9451,-8167,-6443,-6788,-6171,-6140,-3656,-7252,53629,57489,64329,46014.667,46588.667,37642.667,15307,17248,14619,66464.667,55153.667,66316.667,48192.667,51691.667,45193.667,8400.333,16552.333,10867.333
1 h 10 min,-7489.333,-6885.333,-6939.333,86366,72081,82175,97446,90033,97093,24982.333,22854.333,25902.333,94354,102904,83474,59392.667,55951.667,58623.667,27515.667,27000.667,47296.667,126097.667,134698.667,87555.667,76369,96249,75096,17609.333,14699.333,22094.333,-8816,-8961,-7263,-5430,-5874,-5648,-5319,-3021,-6847,75773,80491,90034,67589.667,66772.667,55732.667,23994,26118,23470,90139.667,77960.667,91527.667,66156.667,72747.667,64692.667,17861.333,25153.333,19084.333
1 h 20 min,-6840.333,-6226.333,-6175.333,117132,97996,108822,130146,120351,131366,34299.333,32082.333,37177.333,125476,138232,111750,79159.667,72708.667,77935.667,37572.667,36408.667,61479.667,167423.667,169226.667,114712.667,102448,123451,99719,26194.333,22709.333,33153.333,-8555,-8277,-7137,-5050,-5141,-4922,-4598,-2425,-6555,103749,104860,121268,91184.667,90507.667,74813.667,33109,35826,32078,122310.667,104462.667,116691.667,84339.667,92511.667,86596.667,25718.333,35478.333,26801.333
1 h 30 min,-6132.333,-5348.333,-5602.333,151890,127193,141122,162966,152670,164999,44197.333,41647.333,48208.333,161828,173529,141009,98406.667,93246.667,98190.667,50150.667,47607.667,78441.667,210921.667,219832.667,146450.667,131840,158097,129230,34427.333,30658.333,43149.333,-8121,-7901,-6513,-4464,-4369,-4012,-3716,-1433,-6068,131364,130234,153722,113905.667,115771.667,97729.667,42942,46354,42698,155933.667,134529.667,150908.667,108507.667,119720.667,113139.667,34543.333,46504.333,35926.333
1 h 40 min,-5247.333,-4919.333,-4604.333,182024,159714,173271,199335,189131,204202,54488.333,51961.333,56652.333,209059,228214,174040,122740.667,119761.667,120125.667,59817.667,60207.667,91916.667,243387.667,251816.667,179064.667,161932,199299,162567,43272.333,38668.333,52126.333,-7203,-6950,-5345,-3859,-4066,-3493,-3853,-1222,-5274,161081,159462,193891,138529.667,139455.667,120326.667,53269,56349,52114,185013.667,157457.667,195357.667,139869.667,153543.667,145567.667,44169.333,57479.333,46664.333
1 h 50 min,-4852.333,-4176.333,-3970.333,225135,193398,213501,238896,229311,242334,66683.333,64141.333,70324.333,235020,260735,208976,145903.667,136334.667,138974.667,74975.667,74190.667,111371.667,292684.667,306586.667,221193.667,192740,229249,189316,50668.333,46849.333,64552.333,-7007,-6512,-5005,-2923,-3173,-2737,-2424,-63,-4678,197067,191842,230207,168151.667,166058.667,149412.667,64255,68154,65198,226269.667,201435.667,225761.667,158722.667,173496.667,164938.667,54962.333,70799.333,56105.333
2 h ,-3833.333,-3688.333,-3196.333,261368,228682,253530,277151,262822,278375,78325.333,76528.333,82526.333,281347,302702,247135,165469.667,162335.667,159200.667,88756.667,84603.667,125692.667,334761.667,354026.667,260122.667,228836,265290,224972,61174.333,56099.333,78266.333,-6581,-6119,-4722,-2723,-3033,-2290,-2050,490,-4130,231210,225009,272573,196563.667,195834.667,172322.667,75201,80717,76259,265047.667,238329.667,262764.667,188837.667,205572.667,198669.667,63110.333,81834.333,65857.333
2 h 10 min,-3122.333,-2781.333,-2227.333,295388,271833,299678,312270,303057,317798,87332.333,86001.333,91956.333,342360,357128,288649,198016.667,197673.667,184456.667,101835.667,99842.667,144025.667,367433.667,393175.667,293660.667,267902,310475,268631,74046.333,65278.333,90242.333,-5915,-5301,-3447,-1969,-1992,-1540,-1703,869,-3138,265409,261806,315269,224532.667,224449.667,206835.667,86753,92239,88075,300029.667,265872.667,310411.667,225030.667,245697.667,239069.667,75326.333,94163.333,77156.333
2 h 20 min,-2820.333,-2528.333,-2235.333,333395,306430,329834,358088,351144,359161,101737.333,98721.333,105562.333,385592,399316,326725,222562.667,217529.667,211038.667,111132.667,112287.667,159497.667,415699.667,434799.667,334638.667,297343,338362,295624,83498.333,74934.333,102384.333,-5930,-5075,-3066,-1450,-1338,-1017,-1232,1058,-3330,303320,291302,351310,255403.667,253821.667,229798.667,97811,103272,99221,342299.667,296632.667,335699.667,244185.667,265732.667,260988.667,85306.333,105116.333,87425.333
2 h 30 min,-3084.333,-1981.333,-1491.333,369587,341054,381234,406560,388203,400427,111509.333,110893.333,118887.333,440843,451115,362752,244632.667,246736.667,231775.667,127957.667,126374.667,180273.667,463868.667,480575.667,375478.667,330166,376328,332380,92741.333,82280.333,115684.333,-5358,-4864,-2882,-721,-777,-703,-426,1976,-2798,341822,330382,391532,283441.667,281433.667,260422.667,108954,116138,112117,381668.667,338586.667,373376.667,269706.667,292780.667,288957.667,94842.333,117988.333,98525.333
2 h 40 min,-1962.333,-1654.333,-799.333,403538,397295,437695,445310,430968,446575,125844.333,124719.333,130591.333,512499,516597,408212,282048.667,288002.667,255536.667,144043.667,144037.667,201586.667,501669.667,526833.667,419205.667,380687,437670,385472,106279.333,91906.333,130553.333,-4720,-4550,-1740,-444,-311,-37,-202,2327,-1906,373931,371882,443249,314394.667,309732.667,294964.667,119720,127752,122981,421765.667,374847.667,437152.667,311027.667,337855.667,333868.667,107868.333,129476.333,110634.333
2 h 50 min,-973.333,-840.333,-1.333,438658,451419,486098,489670,479618,492585,140014.333,137383.333,143346.333,562607,581349,467382,310044.667,317181.667,278761.667,159974.667,159499.667,222982.667,541780.667,577010.667,469561.667,425515,484891,428774,114383.333,100562.333,143476.333,-5223,-4254,-1235,61,-190,634,393,2657,-1022,419900,412433,496712,347121.667,336051.667,327416.667,131873,142310,137854,471475.667,414244.667,481196.667,344277.667,373951.667,373456.667,114380.333,142966.333,122778.333
3 h ,-1232.333,-1125.333,-187.333,468112,491214,522579,533137,526275,538293,152640.333,149641.333,154392.333,597809,621502,482687,329942.667,336927.667,305617.667,176271.667,172046.667,240748.667,579857.667,631134.667,515049.667,446100,524851,457499,120004.333,107787.333,145365.333,-5233,-4007,-1130,108,473,698,330,3012,-848,451485,457288,542929,380054.667,368173.667,360143.667,143805,153681,150118,513222.667,447754.667,518021.667,374020.667,407050.667,408260.667,122028.333,154748.333,136354.333
3 h 10 min,-258.333,-625.333,996.667,495078,531847,570020,569659,562783,575132,165549.333,163335.333,164538.333,651616,683202,552624,354212.667,361844.667,326463.667,192950.667,183332.667,254458.667,614701.667,671919.667,553606.667,496469,566653,505668,126445.333,117209.333,163334.333,-4766,-3835,-1246,395,882,1169,1005,3857,-126,505127,509431,594590,408009.667,401753.667,389803.667,155249,166998,162217,548988.667,487467.667,561763.667,403983.667,434593.667,440725.667,136009.333,168517.333,148708.333
3 h 20 min,-255.333,-511.333,1385.667,519458,560147,601633,607061,605535,611970,176203.333,174163.333,173435.333,687066,713591,582216,373780.667,380188.667,343363.667,204363.667,195906.667,270299.667,647978.667,711755.667,595698.667,522114,597373,535961,130530.333,125644.333,168091.333,-4787,-4105,-772,1138,1157,1743,1703,3936,400,532107,546848,635595,427976.667,426064.667,413015.667,167550,178341,175068,590378.667,520936.667,598684.667,430151.667,460994.667,470854.667,140315.333,180526.333,158322.333
3 h 30 min,-137.333,-580.333,1364.667,544594,584568,631376,653456,647255,650349,187223.333,185270.333,183713.333,706180,746676,625476,389772.667,380793.667,346209.667,215309.667,206385.667,284407.667,684941.667,755180.667,633361.667,556395,613214,559132,128823.333,129541.333,177723.333,-4916,-4523,-1508,1467,1516,2259,2297,4815,107,579850,583507,668983,457238.667,447997.667,433009.667,178477,191892,185964,632139.667,563069.667,611706.667,440024.667,471926.667,482707.667,142713.333,194224.333,165476.333
3 h 40 min,91.667,-88.333,1593.667,551360,608646,655206,679679,679652,681398,196508.333,195298.333,189894.333,754968,798695,649485,406300.667,399191.667,355161.667,225498.667,214140.667,296040.667,701552.667,780798.667,662114.667,585822,655676,600137,131359.333,131078.333,185611.333,-5044,-4229,-1192,2044,1789,2477,2063,4827,819,608795,622931,709891,468183.667,463288.667,452631.667,187271,198231,192623,654595.667,580134.667,661759.667,477825.667,511680.667,518239.667,148995.333,204593.333,178960.333
