,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
0 h ,260.333,-104.667,-155.667,-1077.667,2078.333,-1000.667,-725,1175,-450,-1058,47,1011,-961.333,393.667,567.667,-611.333,340.667,270.667,-562.333,325.667,236.667,-4198,2471,1727,0.333,223.333,-223.667,1866.667,-1609.333,-257.333,-1441,1599,-158,595.667,843.667,-1439.333,559.667,653.667,-1213.333,451,-16,-435,-210,1595,-1385
0 h 10 min,-8413.667,-9039.667,-7971.667,-10770.667,-4907.667,-11136.667,-10463,-10625,-10881,-7146,-8122,-7857,-9017.333,-7295.333,-8358.333,-10826.333,-9912.333,-10214.333,-8899.333,-9273.333,-9885.333,-7447,-7246,-7724,-9302.667,-9171.667,-9585.667,-7506.333,-11293.333,-11162.333,-11390,-9667,-10764,-10737.333,-10298.333,-11466.333,-9546.333,-9732.333,-10595.333,-10155,-10346,-10134,-9762,-7838,-9430
0 h 20 min,-777.667,-2812.667,-1479.667,-4133.667,-5396.667,-4107.667,-6364,-6836,-6222,-2220,-2399,-1785,-2690.333,1098.667,-2582.333,-7279.333,-6517.333,-6589.333,1985.667,3008.667,-1343.333,-849,-208,-567,-5998.667,-4948.667,-5248.667,-9286.333,-10105.333,-10271.333,-10452,-7881,-9611,-9159.333,-8626.333,-10687.333,-8908.333,-9580.333,-9806.333,-9409,-9518,-9265,-9413,-6959,-10379
0 h 30 min,13431.333,7593.333,10599.333,7289.333,3821.333,7646.333,-607,-1053,-962,7868,8769,8592,9733.667,15385.667,7382.667,-1315.333,-482.333,-988.333,19402.667,23504.667,15877.667,11071,12312,11263,-206.667,1943.333,391.333,-7934.333,-8417.333,-8567.333,-8944,-5915,-8017,-7393.333,-6692.333,-9328.333,-8112.333,-8686.333,-9239.333,-8696,-8581,-8339,-8303,-6716,-9523
0 h 40 min,35251.333,23293.333,28059.333,26089.333,17527.333,23366.333,7691,7736,8074,21484,27616,26655,29742.667,33802.667,23607.667,6775.667,8233.667,7007.667,43352.667,50404.667,36807.667,28320,30901,29722,7376.333,10446.333,7417.333,-5702.333,-6011.333,-6837.333,-6729,-3700,-5496,-5458.333,-4318.333,-7416.333,-7264.333,-7841.333,-8328.333,-8006,-8242,-7774,-7524,-5384,-8757
0 h 50 min,62904.333,42441.333,50071.333,49534.333,37135.333,44626.333,18099,18122,18008,40948,53073,55793,52869.667,57962.667,43853.667,17385.667,18968.667,16702.667,71982.667,83251.667,63270.667,50785,53222,51606,15915.333,21162.333,17254.333,-2761.333,-3508.333,-4854.333,-4501,-1644,-3485,-3062.333,-1645.333,-5241.333,-6165.333,-7064.333,-7417.333,-7097,-7490,-7131,-6827,-4429,-8067
1 h ,97927.333,70346.333,78125.333,80848.333,59815.333,71972.333,29903,30330,30791,63876,85477,87801,81290.667,85900.667,68706.667,29966.667,31912.667,28896.667,106568.667,123271.667,94833.667,77309,80168,77350,30040.333,34975.333,30133.333,-991.333,-680.333,-2193.333,-2451,658,-1315,-858.333,4.667,-3112.333,-5531.333,-6482.333,-6778.333,-6443,-6788,-6171,-6140,-3656,-7252
1 h 10 min,137542.333,100182.333,114458.333,113976.333,87399.333,100853.333,42257,44426,45209,92724,121358,122270,114654.667,124105.667,96822.667,44496.667,48224.667,41116.667,145651.667,173351.667,138730.667,110069,109773,106803,45742.333,50887.333,44195.333,1693.667,1497.667,-704.333,-138,2850,960,1116.667,2688.667,-545.333,-4509.333,-5638.333,-6560.333,-5430,-5874,-5648,-5319,-3021,-6847
1 h 20 min,178602.333,131880.333,144031.333,148916.333,115644.333,135165.333,56693,58354,59875,124384,166116,163268,153889.667,161058.667,124710.667,59722.667,65144.667,55665.667,192172.667,225463.667,175952.667,150510,142710,140072,60064.333,66746.333,57854.333,3396.667,4072.667,1829.667,1101,5351,2909,3835.667,5015.667,1398.667,-4435.333,-5506.333,-5689.333,-5050,-5141,-4922,-4598,-2425,-6555
1 h 30 min,225914.333,167889.333,184036.333,192540.333,148207.333,170677.333,71244,75976,77218,159465,212784,209181,191699.667,201713.667,159044.667,77466.667,83992.667,72951.667,241248.667,278582.667,223964.667,191128,178697,172809,76935.333,84812.333,76023.333,6119.667,6669.667,4206.667,3608,8119,5311,6085.667,7329.667,3615.667,-3602.333,-4674.333,-5087.333,-4464,-4369,-4012,-3716,-1433,-6068
