time,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 15 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 10 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1To1 3 nM + Se1Tr1 5 nM + St1 5 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,Se1Tr1 15 nM + St1 50 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 15 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 15 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 10 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar,Se1To1 3 nM + Se1Tr1 10 nM + St1 5 nM + antistar
0 h ,24549,24844,24258,21989,24831,24487,24722,25061,24917,23346,23031,23396,20300,25429,24756,25481,22825,25933,25325,23942,24990,22568,25105,22957,24226,23810,24006,24483,24757,26893,26321,27034,27075,24335,23868,23449,22432,24237,21257,26470,27707,27078,24817,25458,22797,23696,23939,23444,21902,22707,22673,23324,23104,23212,24874,27778,26322
0 h 10 min,13037,13107,12854,20586,17073,15419,14917,15545,15515,13790,13425,13357,15027,14911,15081,14452,13990,15398,14679,13456,14764,14348,16580,14365,14612,15039,14423,13728,16179,15083,14728,14652,15926,13729,13538,13750,12880,14804,13212,16607,18680,17325,15084,16375,15239,14336,13852,13917,14060,14175,14505,14909,14058,14350,14641,16964,16395
0 h 20 min,13487,13833,13472,17555,19144,19562,22049,21220,21973,16086,15796,16180,20689,21035,21455,18517,16859,19267,17110,15800,18791,22201,25340,20188,19815,21344,19127,15065,15349,16938,14988,14778,15717,14475,14366,14619,13229,15683,12263,22046,24998,22040,19230,19747,17688,16074,16385,15674,20232,19018,19632,18524,18243,17660,15510,19076,17625
0 h 30 min,14033,14388,13880,26232,26479,28500,34167,31373,32856,20369,19204,19596,30408,31990,31545,25574,23151,26843,21705,19395,25845,35625,41908,30304,28598,31952,27231,17730,18362,20045,15039,15223,15955,15188,15303,15545,14339,15926,13119,31228,34157,31196,27224,27559,23559,19579,20268,19552,30081,27650,29602,25640,25692,23536,18363,22745,20628
0 h 40 min,15054,15283,15257,37564,38235,41398,49926,45393,48228,25414,24034,25233,45712,48714,45647,36586,33731,38881,26804,25278,34952,57028,62547,43353,41215,48609,40214,23704,22419,26139,16262,16181,17311,15878,15642,16110,15118,17258,13885,44600,48859,46052,39237,38415,33144,24756,26043,24647,44175,40283,44096,37329,37966,33775,23496,28226,24902
0 h 50 min,15861,16032,15906,57550,53288,58651,69877,63775,69031,31542,29935,31139,66624,70809,62750,50378,47072,51825,33440,32263,44545,81150,84758,61821,58918,69041,57604,29975,27441,32947,16880,16966,17923,16787,16394,16753,15815,18213,14575,61692,65174,66000,53310,52353,44442,31172,32667,30492,63187,55492,64087,51946,53976,49269,29186,34779,30466
1 h ,16438,16704,16781,79727,73076,81980,92604,87080,93013,39861,37589,40222,93641,97073,85178,65367,63193,66894,43346,40809,57774,115927,119512,84795,80428,94039,79016,36573,33447,39818,17197,17359,18643,17441,17096,17713,16502,18986,15390,80714,84574,91414,70372,70946,62000,39000,40941,38312,88892,77581,88744,71406,74905,68407,34725,42877,37192
1 h 10 min,17061,17665,17611,110135,95850,105944,122346,114933,121993,48240,46112,49160,117849,126399,106969,84139,80698,83370,52268,51753,72049,149641,158242,111099,100383,120263,99110,42987,40077,47472,17994,17849,19547,18454,18010,18236,17323,19621,15795,102858,107576,117119,91947,91130,80090,47687,49811,47163,112567,100388,113955,89370,95961,87906,44186,51478,45409
1 h 20 min,17710,18324,18375,140901,121765,132591,155046,145251,156266,57557,55340,60435,148971,161727,135245,103906,97455,102682,62325,61161,86232,190967,192770,138256,126462,147465,123733,51572,48087,58531,18255,18533,19673,18834,18743,18962,18044,20217,16087,130834,131945,148353,115542,114865,99171,56802,59519,55771,144738,126890,139119,107553,115725,109810,52043,61803,53126
1 h 30 min,18418,19202,18948,175659,150962,164891,187866,177570,189899,67455,64905,71466,185323,197024,164504,123153,117993,122937,74903,72360,103194,234465,243376,169994,155854,182111,153244,59805,56036,68527,18689,18909,20297,19420,19515,19872,18926,21209,16574,158449,157319,180807,138263,140129,122087,66635,70047,66391,178361,156957,173336,131721,142934,136353,60868,72829,62251
1 h 40 min,19303,19631,19946,205793,183483,197040,224235,214031,229102,77746,75219,79910,232554,251709,197535,147487,144508,144872,84570,84960,116669,266931,275360,202608,185946,223313,186581,68650,64046,77504,19607,19860,21465,20025,19818,20391,18789,21420,17368,188166,186547,220976,162887,163813,144684,76962,80042,75807,207441,179885,217785,163083,176757,168781,70494,83804,72989
1 h 50 min,19698,20374,20580,248904,217167,237270,263796,254211,267234,89941,87399,93582,258515,284230,232471,170650,161081,163721,99728,98943,136124,316228,330130,244737,216754,253263,213330,76046,72227,89930,19803,20298,21805,20961,20711,21147,20218,22579,17964,224152,218927,257292,192509,190416,173770,87948,91847,88891,248697,223863,248189,181936,196710,188152,81287,97124,82430
2 h ,20717,20862,21354,285137,252451,277299,302051,287722,303275,101583,99786,105784,304842,326197,270630,190216,187082,183947,113509,109356,150445,358305,377570,283666,252850,289304,248986,86552,81477,103644,20229,20691,22088,21161,20851,21594,20592,23132,18512,258295,252094,299658,220921,220192,196680,98894,104410,99952,287475,260757,285192,212051,228786,221883,89435,108159,92182
2 h 10 min,21428,21769,22323,319157,295602,323447,337170,327957,342698,110590,109259,115214,365855,380623,312144,222763,222420,209203,126588,124595,168778,390977,416719,317204,291916,334489,292645,99424,90656,115620,20895,21509,23363,21915,21892,22344,20939,23511,19504,292494,288891,342354,248890,248807,231193,110446,115932,111768,322457,288300,332839,248244,268911,262283,101651,120488,103481
2 h 20 min,21730,22022,22315,357164,330199,353603,382988,376044,384061,124995,121979,128820,409087,422811,350220,247309,242276,235785,135885,137040,184250,439243,458343,358182,321357,362376,319638,108876,100312,127762,20880,21735,23744,22434,22546,22867,21410,23700,19312,330405,318387,378395,279761,278179,254156,121504,126965,122914,364727,319060,358127,267399,288946,284202,111631,131441,113750
2 h 30 min,21466,22569,23059,393356,364823,405003,431460,413103,425327,134767,134151,142145,464338,474610,386247,269379,271483,256522,152710,151127,205026,487412,504119,399022,354180,400342,356394,118119,107658,141062,21452,21946,23928,23163,23107,23181,22216,24618,19844,368907,357467,418617,307799,305791,284780,132647,139831,135810,404096,361014,395804,292920,315994,312171,121167,144313,124850
2 h 40 min,22588,22896,23751,427307,421064,461464,470210,455868,471475,149102,147977,153849,535994,540092,431707,306795,312749,280283,168796,168790,226339,525213,550377,442749,404701,461684,409486,131657,117284,155931,22090,22260,25070,23440,23573,23847,22440,24969,20736,401016,398967,470334,338752,334090,319322,143413,151445,146674,444193,397275,459580,334241,361069,357082,134193,155801,136959
2 h 50 min,23577,23710,24549,462427,475188,509867,514570,504518,517485,163272,160641,166604,586102,604844,490877,334791,341928,303508,184727,184252,247735,565324,600554,493105,449529,508905,452788,139761,125940,168854,21587,22556,25575,23945,23694,24518,23035,25299,21620,446985,439518,523797,371479,360409,351774,155566,166003,161547,493903,436672,503624,367491,397165,396670,140705,169291,149103
3 h ,23318,23425,24363,491881,514983,546348,558037,551175,563193,175898,172899,177650,621304,644997,506182,354689,361674,330364,201024,196799,265501,603401,654678,538593,470114,548865,481513,145382,133165,170743,21577,22803,25680,23992,24357,24582,22972,25654,21794,478570,484373,570014,404412,392531,384501,167498,177374,173811,535650,470182,540449,397234,430264,431474,148353,181073,162679
3 h 10 min,24292,23925,25547,518847,555616,593789,594559,587683,600032,188807,186593,187796,675111,706697,576119,378959,386591,351210,217703,208085,279211,638245,695463,577150,520483,590667,529682,151823,142587,188712,22044,22975,25564,24279,24766,25053,23647,26499,22516,532212,536516,621675,432367,426111,414161,178942,190691,185910,571416,509895,584191,427197,457807,463939,162334,194842,175033
3 h 20 min,24295,24039,25936,543227,583916,625402,631961,630435,636870,199461,197421,196693,710561,737086,605711,398527,404935,368110,229116,220659,295052,671522,735299,619242,546128,621387,559975,155908,151022,193469,22023,22705,26038,25022,25041,25627,24345,26578,23042,559192,573933,662680,452334,450422,437373,191243,202034,198761,612806,543364,621112,453365,484208,494068,166640,206851,184647
3 h 30 min,24413,23970,25915,568363,608337,655145,678356,672155,675249,210481,208528,206971,729675,770171,648971,414519,405540,370956,240062,231138,309160,708485,778724,656905,580409,637228,583146,154201,154919,203101,21894,22287,25302,25351,25400,26143,24939,27457,22749,606935,610592,696068,481596,472355,457367,202170,215585,209657,654567,585497,634134,463238,495140,505921,169038,220549,191801
3 h 40 min,24642,24462,26144,575129,632415,678975,704579,704552,706298,219766,218556,213152,778463,822190,672980,431047,423938,379908,250251,238893,320793,725096,804342,685658,609836,679690,624151,156737,156456,210989,21766,22581,25618,25928,25673,26361,24705,27469,23461,635880,650016,736976,492541,487646,476989,210964,221924,216316,677023,602562,684187,501039,534894,541453,175320,230918,205285
3 h 50 min,24852,24563,26614,589265,650704,702530,734322,733580,739892,226283,226985,221388,813981,868709,726306,434719,426262,377295,259134,246263,331010,746767,832696,715209,649741,706848,659435,154915,158763,222282,22002,22621,26037,26430,25802,26212,25221,27729,24042,676335,694417,771615,512700,510857,496254,222213,230395,228085,704071,633982,713187,522037,554626,563166,180025,238673,217909
4 h ,24634,24103,26566,599688,658129,711221,764258,767723,766238,237614,235772,228429,810791,869810,740579,438514,417723,372318,265157,251145,338367,772729,867719,749022,664496,713325,671151,150333,160174,228154,21571,21866,25268,26083,26036,27053,25579,28383,23615,698295,718096,785531,524938,528555,505398,229199,238783,237972,746258,666022,714012,523041,555355,566301,183051,247006,221141
4 h 10 min,25347,23882,26567,606398,669295,725852,785063,788432,782684,243885,241286,232595,827677,904228,770666,433825,412470,362568,272816,255600,344362,785874,882845,772880,690031,730788,693620,146706,158808,231756,20868,21391,24852,26120,26292,26959,25640,28187,23810,735340,747427,812799,538565,545399,516358,235538,244627,243211,768411,688202,731765,535843,567483,581138,184652,254473,228951
