time,Negative,Negative,Negative,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM
0 h,21605,22846,21897,24631,23894,24867,24806,25546,24424,25375,24269,25207,24584,24233,22957,23269,23132,21797,22579,23473,23640,23486,22553,23388,23606,24399,26112,22453,25004,25589,24532.5,25044,24134.5
0 h 2 min,21359,22482,21603,24202,23621,24611,24408,25197,24109,24805,23778,24201,24180,23975,22257,22414,22647,21322,21771,22977,23418,23326,22393,23090,23427,23976,25467,22426,24554,24872,24230.5,24360.5,23264.5
0 h 4 min,21246,21874,21832,23783,23082,23939,23978,24493,23529,24268,23492,24244,23931,23167,22014,22256,22397,20786,21448,22863,23210,22739,22214,22765,23067,23554,24716,21709,24444,24695,23831,23855.5,22807
0 h 6 min,20515,22058,21599,23432,22936,24296,23605,24395,23393,24216,23110,24252,23923,23528,22177,22078,22422,20832,21473,22683,23215,22612,21769,22487,22870,23633,24812,21895,24164,24660,23842.5,23868.5,22954.5
0 h 8 min,20716,21716,21105,23292,22842,23922,23654,24199,23427,23820,23178,23856,23570,23381,21745,22119,22417,21091,21492,22729,22890,22363,21656,22539,22948,23588,24657,21688,24060,24356,23561.5,23823,22876.5
0 h 10 min,20256,21524,20274,23203,22769,23746,23615,24311,23149,23618,23116,23492,23402,22949,21743,21913,22014,20741,21205,22433,22413,22581,21609,22141,22463,23796,24381,21609,24125,24440,23273,23564.5,22613
0 h 12 min,19527,20919,19191,22603,22431,23286,23504,23836,22652,22619,22026,23037,22410,22189,20977,20953,20799,19900,20365,21283,21327,22281,21632,21523,22300,23482,23650,21061,23462,24001,22265.5,22865,22173.5
0 h 14 min,18494,19739,18134,21999,21420,22085,22607,22579,21664,21349,20482,21971,21141,20715,19439,19599,19959,18516,19259,19994,20129,21506,21209,20029,21461,22485,22382,19672,21967,22618,20935,21520.5,21538.5
0 h 16 min,17750,18537,16936,20705,19949,20696,21381,21579,20597,19568,19229,20178,20138,19568,18262,18068,18583,17685,18170,18653,18584,20618,20403,18896,19929,21128,21151,18693,20717,21500,19223,20261,20338
0 h 18 min,16666,17604,15296,19520,18942,19849,19984,20132,19362,18113,17194,18479,17900,17284,16550,16504,16686,16669,16561,17042,16825,19563,19201,17175,18381,19632,19396,17397,19429,20032,17612.5,18466.5,18896.5
0 h 20 min,15758,16117,14835,17567,17319,18619,18211,18467,17511,16943,16239,16920,16219,15918,15376,15340,15273,14935,15448,16014,16139,17662,18313,15988,16531,17856,17802,15926,17517,18292,16225,17019,17545.5
0 h 22 min,14850,15228,14882,16332,16347,16952,16728,16962,16267,16317,16018,16198,15921,15816,14779,14613,14954,14515,14880,15408,15673,16310,16982,15526,15694,16692,16612,15138,16482,17104,15893.5,16242,16530
0 h 24 min,14442,14753,14445,15846,15887,16574,16171,16324,15735,16206,15775,15935,15628,15510,14728,14456,14793,14276,14795,15341,15681,15794,15794,15491,15535,16124,16373,14807,16275,16742,15948.5,15960.5,15886.5
0 h 26 min,14394,14822,14320,15507,15797,16252,15844,16380,15672,16134,15898,15929,16043,15394,14701,14401,14719,14225,14778,15316,15455,15559,15407,15688,15439,15756,16286,14985,16517,16521,15911.5,15960,15627
0 h 28 min,14140,14823,14454,15817,15800,16244,15871,16042,15367,16380,15911,15999,15625,15663,14663,14405,14821,14067,14580,15153,15709,15249,15342,15467,15457,16048,16117,14824,16232,16632,15797,16049.5,15523
0 h 30 min,13988,14369,14272,15493,16036,16243,16144,16179,15582,16440,15909,16109,15676,15767,14635,14529,14825,14044,14860,15283,15574,15544,15141,15554,15197,15993,16247,14788,16327,16400,15981,16196.5,15678.5
0 h 32 min,13843,14569,14450,15651,15816,16286,16049,16223,15547,16408,15962,16138,16072,15553,14786,14532,14704,14008,14835,15268,15620,15456,15264,15441,15404,15818,16222,14924,16339,16483,16117,16288,15801.5
0 h 34 min,13933,14587,14595,15741,16111,16450,15999,16285,15682,16345,16262,16185,16114,15755,15041,14821,14820,14195,14860,15322,15678,15356,15000,15669,15570,15965,16488,14838,16269,16606,16274.5,16468,15863
0 h 36 min,13968,14639,14660,15973,16172,16412,15966,16263,15584,16740,16143,16253,16192,15922,15083,14693,15269,14094,15199,15711,15782,15731,15196,15875,15338,16140,16486,15063,16277,16689,16505,16735,15992.5
0 h 38 min,14163,14748,14620,16052,16333,16529,16329,16683,15772,17178,16388,16712,16474,16025,15186,14868,15229,14515,15109,15684,15854,15625,15088,15807,15561,16134,16604,15260,16720,16744,16844,16852,16153.5
0 h 40 min,14397,14837,14693,16382,16519,16778,16361,16627,16079,17116,16515,16695,16512,16358,15357,15011,15327,14565,15565,15926,16096,15823,15464,16451,15954,16147,16605,15159,16828,17091,16715.5,17108,16428.5
0 h 42 min,14393,14785,14799,16378,16691,17111,16650,16747,16139,17298,16488,16601,16651,16407,15508,15133,15362,14857,15528,15993,16284,15736,15086,16344,16034,16589,16916,15464,16745,17192,17096.5,17383.5,16529
0 h 44 min,14522,14832,14927,16825,16850,17162,16576,16971,16400,17341,16687,17074,16950,16554,15517,15381,15493,14698,15665,16001,16530,15763,15478,16566,16141,16833,16873,15565,17178,17157,17227,17425.5,16704.5
0 h 46 min,14805,15027,14991,16908,16904,17240,16748,16994,16398,17270,16806,16865,16824,16570,15515,15413,15663,14724,15873,16307,16649,16199,15528,16591,16392,17008,17024,15568,17188,17373,17499,17847.5,16809.5
0 h 48 min,14709,14879,15135,16868,17490,17770,16953,17014,16673,17756,17039,17193,17007,16834,15755,15452,15738,15070,15734,16474,16915,16215,15591,16770,16412,16718,17488,15780,17450,17534,17650,17952.5,17107
0 h 50 min,14781,14997,15118,17365,17489,17857,16937,17134,17021,17910,17095,17294,17139,16788,15777,15684,15511,14930,16104,16677,16950,16286,15844,16747,16387,17173,17364,15896,17519,17483,17929.5,18173,17374.5
0 h 52 min,14753,15206,15233,17455,17254,18033,17122,17341,17092,17883,17360,17430,17449,17039,15985,15674,15897,15028,16169,16812,17016,16506,15932,16710,16609,17121,17338,16111,17497,17620,18208.5,18423,17709
0 h 54 min,14870,15313,15174,17390,17801,18345,17237,17372,17036,18238,17582,17480,17521,17113,16190,15703,16061,15242,16209,16783,17440,16504,16021,17271,16682,17211,17671,15967,17620,17575,18377.5,18727.5,17923.5
0 h 56 min,14858,15408,15337,17794,17972,18302,17247,17620,17131,18222,17531,17710,17644,17319,16270,15895,15878,15416,16591,16927,17550,16666,16217,17428,16696,17181,17597,16198,17797,17884,18349.5,19152,18068
0 h 58 min,14711,15196,15418,18001,18226,18630,17723,17944,17389,18341,17487,17959,17755,17326,16197,16145,16240,15482,16584,16960,17717,16695,16145,17415,16705,17419,17886,16299,17613,18047,18848.5,19303,18411
1,14960,15431,15211,18298,18605,18860,17715,18058,17505,18695,17845,17961,18271,17534,16678,16092,16204,15637,16780,17205,17745,17059,16311,17503,16960,17576,17875,16446,18041,18282,19007.5,19418,18427
1 h 2 min,14941,15383,15542,18190,18574,18927,17879,17839,17716,18622,18091,18082,18057,17688,16570,16459,16599,15789,17065,17039,17966,16851,16477,17601,17003,17692,18115,16522,18204,18338,19450,19879,18832
1 h 4 min,14845,15491,15506,18424,18707,19389,18073,18234,17671,18983,18495,18256,18224,17849,16701,16382,16520,15797,17034,17464,18140,16999,16834,17639,17287,18080,18361,16634,18238,18603,19478.5,20362,19026
1 h 6 min,15109,15503,15652,18610,19115,19268,18165,18377,17995,19233,18343,18056,18436,18327,17081,16712,16703,15896,17041,17906,18292,17232,16708,17583,17241,17835,18358,16806,18495,18567,19759,20413.5,19375.5
1 h 8 min,15125,15592,15719,18853,19086,19681,18416,18652,18141,19337,18747,18659,18407,18270,17075,16862,16697,16347,17311,17774,18244,17348,16610,17984,17375,18233,18600,17007,18503,18605,20068,20664,19608
1 h 10 min,15274,15658,15844,18914,19178,19721,18550,18841,18461,19726,18646,19008,19065,18679,17510,16922,16861,16326,17554,18010,18400,17186,16633,18083,17646,18393,18865,17171,18802,18944,20211,21109,19752.5
1 h 12 min,15184,15638,15749,19394,19557,20108,18655,18773,18280,20085,19195,19064,18816,18487,17366,17222,16982,16177,17456,18254,18447,17251,16763,18336,17811,18238,18955,17152,18892,18971,20605.5,21404.5,20052
1 h 14 min,14982,15674,15741,19474,19962,20189,18756,18924,18526,20016,19189,19245,19031,18811,17337,17382,17108,16928,17986,18458,18629,17545,16896,18408,17909,18496,18746,17448,18789,19205,20865,21692,20590
1 h 16 min,15261,15704,15696,19670,20216,20546,19031,19078,18750,19988,19380,19460,19275,19173,17748,17023,17378,16548,17859,18708,19087,17607,17071,18920,18017,18594,19191,17629,19220,19400,21290,22060.5,20643.5
1 h 18 min,15456,15878,15801,19899,20477,20803,19086,19159,18821,20516,19699,19628,19429,19093,18033,17586,17437,16951,17979,18716,19064,17943,17191,18762,18193,18696,19175,17761,19321,19668,21602.5,22434,20955.5
1 h 20 min,15318,16070,16138,20154,20281,20981,19406,19483,19446,20653,19730,19740,19600,19348,17929,17614,17254,16925,18225,18848,19423,17985,17481,18977,18433,18934,19696,17613,19662,19850,22105.5,22786.5,21300
1 h 22 min,15400,16040,15921,20270,20874,21128,19622,19766,19305,20711,20123,19758,19928,19541,18076,17528,17653,17000,18430,19082,19451,18235,17679,19436,18234,19353,19636,17823,19534,19806,22229.5,23005.5,21620.5
1 h 24 min,15268,16098,15972,20476,20997,21266,19645,19720,19596,21148,20382,20062,20173,19533,18383,17767,18209,16885,18471,19249,19353,18275,17489,19420,18585,19262,19520,18019,19988,19995,22567,23631,22097.5
1 h 26 min,15338,16301,16430,20989,21290,21734,20144,19986,19786,21356,20308,20095,20269,19789,18938,18071,17874,17268,18527,19339,19811,18298,17750,19258,18774,19271,19871,18358,20219,20247,23100,24032.5,22573
1 h 28 min,15857,16224,16089,20976,21527,22025,20111,20387,19817,21588,20854,20701,20350,19984,18842,18179,18379,17253,18629,19566,19867,18276,17883,19877,18791,19308,20063,18383,20251,20398,23397,24392,22821.5
1 h 30 min,15597,16277,16218,21258,21535,22085,20316,20511,20176,21640,20785,20554,20486,20248,18907,18199,18244,17281,19021,19565,20211,18680,18060,19645,19071,19821,19977,18412,20510,20611,23705,24676,23030
1 h 32 min,15563,16147,16154,21426,21941,22450,20706,20718,20194,21881,21093,20671,20470,20423,19043,18214,18441,17756,19303,19827,20367,18726,18081,20129,19248,20146,20264,18498,20495,20978,24104.5,24945.5,23427
1 h 34 min,15757,16420,16386,22256,22104,23145,20760,20742,20483,22157,21039,20941,20907,20769,19084,18183,18576,17744,19301,19988,20478,19065,18315,19932,19414,20233,20649,18504,21096,20989,24363.5,25592,23881.5
1 h 36 min,15697,16384,16251,22406,22178,22814,20867,21133,20456,22552,21458,21176,21334,20805,19372,18736,18727,18038,19276,20049,20746,19189,18405,20266,19445,20139,20730,19021,21034,21120,24841.5,25834,23931.5
1 h 38 min,15998,16294,16628,22623,22482,23176,21115,21199,20877,22566,21706,21176,21444,20933,19561,19066,18939,18132,19496,20470,21050,19269,18306,20613,19693,20711,20775,19250,21120,21493,25083,26476.5,24521
