time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
0 h ,16600,15740,16591,16087,16752,15931,17128,16009,15309,16348,17025,17543,16134,16269,16015,15547,16485,16457,15388,15883,14598,15792,15460,15984
0 h 2 min,16450,15841,16517,15878,16347,15600,16777,15523,15439,16190,16653,17074,15842,15951,15895,15382,16545,16231,15128,15527,14256,15740,15062,15966
0 h 4 min,16580,15692,16354,15988,16149,15405,16718,15627,15716,16187,16503,17273,15763,15993,15736,15176,15940,16072,15155,15484,14177,15206,15211,16140
0 h 6 min,16393,15693,16094,16003,16096,15649,16398,15660,15512,16183,16291,16912,15704,15919,15560,15234,16323,16058,15152,15696,14166,15047,15042,15662
0 h 8 min,16436,15752,16500,15982,16079,15673,17018,15383,15321,15958,16205,17147,15969,15726,15489,14828,16262,16225,14946,15467,14287,15232,14939,15567
0 h 10 min,16279,15827,16608,16012,16037,15537,16824,15510,15426,16295,16390,16929,15939,15657,15598,15009,16183,15952,14874,15559,14320,15128,15017,15428
0 h 12 min,16368,15620,16609,16152,16172,15660,16620,15611,15366,16274,16208,17057,15988,15511,15596,14845,16315,15876,14678,15641,14554,15384,14809,15413
0 h 14 min,16424,15706,16775,16442,16133,15713,16960,15828,15717,16589,16481,16922,15828,16052,15397,14619,16466,15996,14986,15741,14530,15204,15117,15608
0 h 16 min,16520,15918,16769,16558,16386,15712,17178,15870,15810,16464,16463,17119,16290,16420,15670,14933,16546,16256,14956,15941,14624,15626,15140,15663
0 h 18 min,16687,16241,17090,16623,16498,16098,17377,16248,16107,16723,16378,17461,16203,16608,15547,15277,16862,16362,14875,15874,14991,15510,15159,15765
0 h 20 min,16877,16204,17128,17046,16716,16487,17233,16162,16220,17053,16686,17404,16264,16735,15677,15634,16812,16290,15098,15927,14921,15588,15237,15844
0 h 22 min,16979,16638,17435,17112,16736,16554,17829,16508,16516,17054,16965,17890,16702,16708,15724,15535,16999,16550,15525,16069,14955,15432,15236,15895
0 h 24 min,17050,16782,17786,17144,16834,16642,17929,16743,16602,17044,17128,17890,16731,17081,16050,15601,17044,16459,15282,16374,14986,15492,15228,16098
0 h 26 min,17586,16818,17716,17277,17288,16765,17923,16942,16893,17441,17092,17966,16848,17126,15944,15797,17355,16922,15660,16141,15366,15721,15405,16168
0 h 28 min,17445,17306,18174,17523,17560,17072,18210,17121,17116,17235,17189,18174,17025,17374,16175,15917,17557,17098,15505,16328,15360,15363,15487,16118
0 h 30 min,17613,17239,18264,17666,17663,17088,18330,17323,17264,17481,17376,18247,17164,17532,16332,15947,17586,17102,15831,16634,15368,15856,15330,16319
