,,"Negative Control","Negative Control","Negative Control","Sense only","Sense only","Sense only","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 5 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 10 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Sense with 15 nM STAR","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (I)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (II)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Se1 + St1 oligo (III)","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 15 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 10 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Sense with 15 nM STAR and 5 nM antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (I)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (II)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR","Se1 + St1 oligo (III)+ antiSTAR",Sample,Sample,Sample,"Positive Control","Positive Control","Positive Control"
"0 h",,24461,32596,31950,36655,31699,31758,41953,40036,40513,30896,28901,39872,30765,27331,27186,27785,28458,27775,26615,36709,27064,26713,30211,31839,29977,25793,23109,30656,29351,36668,29485,31599,25133,26356,28633,26142,34660,25514,31854,31345,31305,22075,25674,24701,25818,38219,32047,34128
"0 h 2 min",,22524,29797,30560,33561,30522,29984,40036,38327,37340,29135,27074,36144,28159,25401,24929,26005,26395,26100,25292,33192,25084,24853,28358,29688,27674,23141,20735,27370,25719,33838,25787,27074,20702,22945,24326,23687,35279,21262,30754,27559,27624,18185,20340,20327,21545,35866,28513,30677
"0 h 4 min",,20200,27495,27779,31837,27471,27292,36645,35384,35082,25830,24700,33855,25772,23149,22611,22898,25593,23448,21899,32119,21960,21998,25254,24971,24822,20077,17968,24061,22936,30957,22100,24449,19141,19102,21192,20874,30603,18742,26618,23400,23425,16155,17237,17443,19051,34026,24752,28018
"0 h 6 min",,17965,26435,26290,28642,25285,25466,35263,32549,32508,23046,21970,31496,23785,20827,19863,20418,23733,22326,18834,30134,19197,18906,21960,21377,21397,16740,15100,20328,19271,28206,18649,21512,17389,18148,19610,19145,27374,17804,24124,20418,21090,14760,14924,15483,17620,31258,22982,25348
"0 h 8 min",,16671,24735,24671,28550,23704,24124,33637,32536,31879,21796,20467,30390,21599,19118,19478,19546,21704,20727,17982,28207,17671,18100,20454,20857,19546,15104,14000,17220,16609,26210,17369,20034,17078,17388,19064,18822,25454,17031,22484,19229,19684,14379,14086,15051,17058,29630,21794,22961
"0 h 10 min",,15430,23334,23912,26196,23501,23633,33200,29815,29767,20946,17843,28478,20457,17574,18297,18272,18648,20656,16297,25699,16594,16419,18386,20139,18971,13829,13156,15661,15050,24882,16547,18785,16160,17757,19134,18711,25664,17269,23481,19189,19561,14139,13612,14980,16087,26300,21934,21718
"0 h 12 min",,14545,22442,23339,26094,23123,22798,33388,29846,30165,19988,17786,27688,19500,17145,18264,18009,18423,19339,16301,25130,16036,15523,18431,18235,18280,13777,13477,15602,14969,24501,16455,18538,16168,18483,20208,18759,25551,17636,23020,19132,19517,14279,13543,15018,16458,26017,21668,21231
"0 h 14 min",,14277,21733,22365,25666,22995,22260,33168,29289,29493,19655,16844,27739,19663,17411,18329,17781,17856,18580,16353,24809,16067,15488,18184,18859,18073,13907,13451,15524,14696,24574,16543,19014,15798,18119,19593,18752,25269,16750,23372,19289,20135,14530,13863,15143,16574,25919,21680,21447
"0 h 16 min",,13969,22304,22729,26626,22270,22653,32755,30637,29967,19169,16788,29285,20241,17466,19220,17948,19417,18029,15822,25957,15614,15478,18234,18074,18172,13933,13392,15538,15337,25010,16892,19461,16386,17624,19305,18328,22884,16752,21866,19092,19463,14595,14093,14964,16635,26052,21640,22166
"0 h 18 min",,14015,21955,22962,26483,22836,22986,33171,29974,30161,19256,16926,28815,20398,17741,19304,18337,18230,18600,16247,24179,15904,15994,18555,18892,18080,14273,13486,15760,15086,24579,16495,19134,16208,18545,20367,19089,25489,17628,23540,19416,19871,14970,14211,15587,16953,25854,22607,21940
"0 h 20 min",,14359,22232,22772,26136,23207,22516,34282,29958,30295,19666,17702,29221,20769,17777,19418,18937,18479,19212,16230,23970,15669,15786,18870,18751,18889,14414,13440,15724,14854,25057,16673,19407,16591,18785,20910,18758,24943,17793,23307,19925,20412,14937,14380,15947,17102,25560,23428,21933
"0 h 22 min",,14333,22468,22385,27993,22737,22751,33682,31397,30640,20128,17536,30875,21771,18566,20512,18891,19564,18015,15747,25938,16002,15984,18661,18301,18613,14406,13470,16195,15264,25120,17238,19642,17422,18317,20409,18804,23235,17722,22255,19737,19723,14883,14742,16018,17336,26783,22920,22494
"0 h 24 min",,14117,21945,22670,26892,24026,23536,35245,31365,32102,20804,17790,30422,21825,19019,20873,18551,18768,19158,16560,24724,16132,15924,19119,19126,18913,14480,13787,16470,15499,25034,17189,20078,16550,19085,21214,19710,25805,18353,24320,20604,20740,15243,14720,16129,17373,27387,24458,23240
"0 h 26 min",,14601,22855,22499,28491,23268,23788,35192,32420,31591,21104,18121,31955,23091,19922,21853,19179,20256,18649,16556,26565,16239,16466,19174,19126,18610,14538,13943,16512,15909,25912,17589,20462,17301,18632,21050,19189,23401,18116,23020,20253,20629,15689,15109,16426,17830,28465,24561,23511
