time,Negative Control,Negative Control,Negative Control,0 nM,0 nM,0 nM,15 nM,15 nM,15 nM,10 nM,10 nM,10 nM,5 nM,5 nM,5 nM
0 h ,15792,15460,15984,16196,16995,16777.5,16009,16120.5,15923.5,15981,16196.5,15678.5,15401.5,16380.5,16131
0 h 2 min,15740,15062,15966,16131.5,16820,16782,16027.5,16252.5,16005.5,16117,16288,15801.5,15384.5,16410.5,16343.5
0 h 4 min,15206,15211,16140,16332,16873.5,16773,16210,16312,16297.5,16274.5,16468,15863,15663,16485.5,16439.5
0 h 6 min,15047,15042,15662,16406,17131.5,16899,16332,16527,16211.5,16505,16735,15992.5,15903.5,16857,16616
0 h 8 min,15232,14939,15567,16697.5,17203,17257,16630.5,16752,16720.5,16844,16852,16153.5,16153.5,17020.5,16952
0 h 10 min,15128,15017,15428,16893.5,17537,17620,17002,17115.5,16938,16715.5,17108,16428.5,16283,17459.5,17174
0 h 12 min,15384,14809,15413,17294.5,17878.5,17801,17037.5,17001.5,17062,17096.5,17383.5,16529,16587.5,17759,17275.5
0 h 14 min,15204,15117,15608,17662,18402,18269,17111,17335,17284.5,17227,17425.5,16704.5,16931.5,18071,17731.5
0 h 16 min,15626,15140,15663,18215.5,18633,18676,17243,17539,17474.5,17499,17847.5,16809.5,17175,18363.5,18137.5
0 h 18 min,15510,15159,15765,18990.5,19388,19165,17682,17616.5,17674,17650,17952.5,17107,17435,18772,18462.5
0 h 20 min,15588,15237,15844,19391.5,19841,19871,17784,17848,17722.5,17929.5,18173,17374.5,17790.5,18858.5,18678
0 h 22 min,15432,15236,15895,19827.5,20609,20354,17985.5,18199.5,18192,18208.5,18423,17709,18045,19407.5,18947
0 h 24 min,15492,15228,16098,20545,21104,20956,18163,18235.5,18153,18377.5,18727.5,17923.5,18314,19578,19579
0 h 26 min,15721,15405,16168,21080.5,21677,21575,18495.5,18700,18482,18349.5,19152,18068,18612.5,19904,19714
0 h 28 min,15363,15487,16118,21665,22210.5,22340,18622,18739,18718,18848.5,19303,18411,18829.5,20491,20071.5
0 h 30 min,15856,15330,16319,22468.5,22980.5,22966.5,18905.5,19009.5,18933,19007.5,19418,18427,19324.5,20828,20359
0 h 32 min,15582,15558,16354,23267.5,23338,23606,19231.5,19243,19186.5,19450,19879,18832,19547,21230.5,20687.5
0 h 34 min,15652,15554,16320,23772,24174,24356.5,19459.5,19528.5,19458.5,19478.5,20362,19026,20062,21542,21096.5
0 h 36 min,15902,15304,16288,24487.5,24798.5,24872.5,19578,19839,19607.5,19759,20413.5,19375.5,20481,22094.5,21511.5
0 h 38 min,15743,15554,16218,25215,25740.5,25708,19920.5,20177,19975,20068,20664,19608,20859,22488,22034.5
0 h 40 min,15912,15496,16161,25913.5,26343.5,26630,20215,20435,20483,20211,21109,19752.5,21173.5,22687.5,22235
0 h 42 min,15866,15701,16297,26742,27021.5,27231,20309.5,20567,20525,20605.5,21404.5,20052,21453.5,23448,22888.5
0 h 44 min,16006,15691,16448,27657.5,28032,28039.5,20672.5,20871,20693.5,20865,21692,20590,21954,24050,22942.5
0 h 46 min,16029,15809,16324,28254.5,28705,28802,21076,21349,21147,21290,22060.5,20643.5,22379,24387,23674
0 h 48 min,15865,15769,16677,28976.5,29516,29566,21390,21230,21372,21602.5,22434,20955.5,22735.5,25005.5,24211
0 h 50 min,16113,15905,16718,30130.5,30549,30436.5,21720.5,21605,21886,22105.5,22786.5,21300,23104,25291,24500
0 h 52 min,16403,15802,16513,30633,31148,31310.5,21837,22336,22242,22229.5,23005.5,21620.5,23686.5,25785,25078.5
0 h 54 min,16404,16122,16654,31528,32220,32185.5,22306,22166,22533.5,22567,23631,22097.5,24013,26318.5,25404
0 h 56 min,16418,15873,16671,32589,33048.5,33141,22788,22944,22763.5,23100,24032.5,22573,24413,26923.5,25983.5
0 h 58 min,16405,15960,16865,33483.5,33535.5,33853,22713,23155,23322.5,23397,24392,22821.5,24974.5,27641.5,26531.5
1,16566,15927,16753,34393.5,34415.5,34846.5,23304,23397.5,23583,23705,24676,23030,25563,28240.5,27259
