time,Negative,Negative,Negative,STAR6 15 nM,STAR6 15 nM,STAR6 15 nM,STAR6 10 nM,STAR6 10 nM,STAR6 10 nM,STAR6 5 nM,STAR6 5 nM,STAR6 5 nM,STAR6 3 nM,STAR6 3 nM,STAR6 3 nM,STAR1 15 nM,STAR1 15 nM,STAR1 15 nM,STAR1 10 nM,STAR1 10 nM,STAR1 10 nM,STAR1 5 nM,STAR1 5 nM,STAR1 5 nM,STAR1 3 nM,STAR1 3 nM,STAR1 3 nM,Without STAR6,Without STAR6,Without STAR6
0 h ,21605,22846,21897,22496,23674,22924,22733,22782,21731,25379,25841,24212,22520,24068,25361,24073,25370,25632,24955,26222,26179,24408,22656,23967,26090,25862,25610,24744,24705,23000
0 h 2 min,21359,22482,21603,21946,22980,22274,22448,22473,21370,24254,24997,23725,21925,23756,25046,23677,25234,24896,24539,25486,25415,23676,22241,23718,25631,25406,25025,24185,24223,22667
0 h 4 min,21246,21874,21832,21498,22866,22238,22015,22564,21296,24034,24238,23380,21607,23132,24565,23363,24859,24788,24105,25030,24925,23320,21962,23043,25131,24793,24577,23632,24014,22651
0 h 6 min,20515,22058,21599,21642,22784,22016,22279,22644,21222,23650,24108,23539,21646,22998,24491,23088,24605,24372,23943,24759,25095,23003,22119,23087,24653,24908,24363,23521,23328,22231
0 h 8 min,20716,21716,21105,21551,22358,21746,21836,22301,21082,23061,24080,23142,21392,23019,24322,23009,24625,24227,23859,24640,24624,22763,22382,23067,24825,24718,24254,23302,23271,22440
0 h 10 min,20256,21524,20274,21242,22446,21580,21306,21729,20203,23193,23738,23172,21328,22961,24356,23205,24285,24333,23587,24722,24675,22373,21991,22946,24624,24243,24214,23139,23021,22413
0 h 12 min,19527,20919,19191,20402,21471,20468,20566,20388,18835,22328,23133,22614,20281,22661,23911,22654,23208,23541,22619,23798,23719,21627,21619,22581,24200,23806,23396,22758,21684,21685
0 h 14 min,18494,19739,18134,19122,20181,19042,18951,19018,17904,21411,22099,21562,19038,21570,22860,21757,22081,21775,20959,22207,22476,20825,20720,21249,23065,22813,22489,21841,20199,20772
0 h 16 min,17750,18537,16936,17971,18928,17957,17207,17443,15924,20174,21259,20272,17607,20505,21837,20521,20556,20344,19383,20486,20555,19463,19639,20181,21887,21545,20964,20452,18591,19580
0 h 18 min,16666,17604,15296,16211,17699,16154,15523,15830,14932,18648,19765,18851,16194,19011,20411,19163,18661,18833,17519,18591,18901,17553,18426,18590,20456,19854,19521,18883,16829,18442
0 h 20 min,15758,16117,14835,15030,16138,15089,15160,15052,14581,16973,17872,16991,15247,17579,18701,17430,16956,16996,16312,17094,17203,16068,16684,16866,18088,17918,17732,17151,15648,16958
0 h 22 min,14850,15228,14882,14881,15528,14766,14871,15337,14170,15834,16621,16114,14715,16110,16924,16260,16556,16404,16107,16515,16716,15029,15339,15562,16609,16693,16430,15724,15545,15719
0 h 24 min,14442,14753,14445,14823,15364,14711,14738,14807,14237,15478,16127,15722,14444,15681,15975,15859,16473,16164,16152,16409,16009,15015,14974,15346,16532,16070,16046,15726,15351,14910
0 h 26 min,14394,14822,14320,14746,15351,14646,14761,14830,14272,15538,16154,15559,14677,15213,15896,15803,16188,15737,15889,16372,16208,14886,14893,15260,16477,16290,15880,15154,15303,15375
0 h 28 min,14140,14823,14454,14679,15149,14927,14713,14976,14386,15525,15621,15542,14468,14895,15572,15757,16301,16115,16119,16259,16279,14720,14854,15118,16193,16049,15824,15367,15228,14977
0 h 30 min,13988,14369,14272,14671,15304,14801,14917,14831,14126,15102,15602,15475,14396,15082,15871,15551,16185,15786,15880,15842,16155,14767,14945,15248,16093,15774,15758,15093,15174,14848
