time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
0h,25374,23832,27078,25063,25824,25699,27521,24682,23994,25746,24559,25866,23982,23711,24809,23031,22430,23482,23515,24778,24680,21605,22846,21897
0 h 2 min,24872,23511,26461,24453,25314,25563,27359,24233,23863,25036,24220,25217,23399,23833,24103,22293,22439,23518,22988,23991,23821,21359,22482,21603
0 h 4 min,24512,22984,26145,24502,24900,24933,26790,23747,23514,24408,23551,24814,23410,23203,24112,21645,22445,23246,22875,23817,23637,21246,21874,21832
0 h 6 min,24418,22650,26149,24334,24967,24473,26839,23409,23343,24284,23612,24394,23217,23211,23505,21822,22216,23222,22596,23797,23290,20515,22058,21599
0 h 8 min,24564,22721,25748,24610,24953,24841,26960,23424,22989,24256,23381,24742,22944,22969,23368,21397,22560,24395,22920,23835,23561,20716,21716,21105
0 h 10 min,24270,22376,25923,24229,24850,24501,26686,23527,23317,24321,23690,24136,22489,22469,23387,21480,22371,23838,22570,23294,23197,20256,21524,20274
0 h 12 min,23681,21923,25098,23633,23636,23889,26393,23542,22998,23468,22975,24177,21604,21171,22721,21020,21662,22609,21793,22595,21971,19527,20919,19191
0 h 14 min,22284,20727,23682,22583,22479,22658,25384,22970,21910,22541,21998,23286,20210,20215,21310,20210,21114,21755,20461,20854,20717,18494,19739,18134
0 h 16 min,20990,19782,22129,21203,21387,21281,24074,21515,21009,20878,20909,22363,18845,18577,20145,18581,19871,20268,19839,19492,19367,17750,18537,16936
0 h 18 min,19257,18029,20276,19380,19616,19840,23134,20443,19551,19413,19515,20568,16614,17062,18698,17001,19033,18633,18465,17677,17175,16666,17604,15296
0 h 20 min,17743,16461,18360,17609,17952,17792,21164,19195,17975,17114,17777,18706,15664,16298,16518,15234,17838,17512,16683,16036,15691,15758,16117,14835
0 h 22 min,16892,15516,17305,16625,16724,16442,18991,17749,16470,16172,16306,17296,15506,15710,15436,14324,16350,17005,15648,15388,15404,14850,15228,14882
0 h 24 min,16174,15198,17036,16111,16477,16576,18092,16154,15623,15819,15724,16106,15404,15408,15131,13986,15905,16827,15217,15396,15113,14442,14753,14445
0 h 26 min,16436,15213,17081,16109,16393,16443,17728,15716,15576,15817,15373,15948,15021,15340,14698,13928,15510,16685,14964,15383,15293,14394,14822,14320
0 h 28 min,16272,15085,16925,16328,16195,16181,17768,15615,15582,15602,15573,15999,14968,15216,14767,13770,15242,16773,15028,15228,15204,14140,14823,14454
0 h 30 min,16275,15304,17040,16082,16519,16404,17486,15638,15200,15531,15498,15909,15196,15185,14854,13997,15300,16290,14805,14994,14915,13988,14369,14272
0 h 32 min,16548,15183,16822,16348,16472,16278,17668,15756,15424,15605,15398,15808,15164,15165,14718,13681,15257,16418,14754,15244,14993,13843,14569,14450
0 h 34 min,16311,15358,16927,16295,16572,16625,17358,15484,15375,15638,15286,15723,15154,15061,14852,13839,15193,16616,14846,15204,15243,13933,14587,14595
0 h 36 min,16745,15112,17194,16576,16815,16878,17899,15813,15767,15567,15157,15822,15434,15391,14936,13833,15407,16720,14756,15352,15215,13968,14639,14660
0 h 38 min,16797,15749,17038,16604,16805,16743,17740,15898,15626,15847,15607,15745,15620,15378,14945,13988,15248,16570,14675,15391,15427,14163,14748,14620
0 h 40 min,16918,15776,17601,16721,17090,17092,18082,16140,15794,15667,15586,15830,15622,15447,15225,14173,15515,16585,15046,15498,15325,14397,14837,14693
0 h 42 min,17202,15770,17780,16985,17221,17064,17958,16031,15538,15806,15693,16417,15694,15713,15313,14151,15468,16997,14923,15431,15693,14393,14785,14799
