time,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 15 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 10 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 5 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 3 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 5 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,To3 3 nM + Se6Tr3P 0 nM + St6 0 nM,Negative,Negative,Negative
0 h ,21301,23803,26912,25171,28196,27417,25641,25599,29071,26268,26143,28647,27269,27099,28099,27461,24844,24416,22555,20659,23723
0 h 2 min,20706,24354,26764,24161,26458,26432,25786,25075,28306,25513,25695,27690,26024,26396,27007,26962,23827,24937,21631,20503,23306
0 h 4 min,20476,24650,26480,23661,25985,25610,25880,24502,27779,25071,24912,27230,25919,25910,26874,26276,23191,25408,21313,21037,22976
0 h 6 min,20195,24365,26159,23046,25172,25330,26009,24331,27216,24631,24532,26844,25359,25349,26037,26049,22453,24652,21040,21401,22462
0 h 8 min,20545,24221,25551,22272,24160,24738,26029,23877,26365,23795,23677,25828,25618,24792,25920,25254,21581,23957,20936,21422,22463
0 h 10 min,20561,23644,25192,21378,23228,23025,25274,22330,24544,22821,22429,24149,25088,23470,24633,23354,20653,23937,20722,21390,22656
0 h 12 min,20486,23439,24087,20869,22594,21808,24155,21522,22765,21274,20990,22842,24625,22092,22868,22110,19532,22644,20567,21346,21902
0 h 14 min,20414,21725,22885,19980,21048,20108,22397,19763,20939,20201,19415,20568,23670,20787,21165,20675,18863,20102,19601,20870,21706
0 h 16 min,20226,19388,20560,19538,20291,17984,19791,17933,19180,18358,17631,18692,22274,18527,19131,18572,18295,17989,18764,19868,20166
0 h 18 min,19643,17763,18677,18789,19509,17429,18540,17247,18169,17064,16962,17965,20117,17827,17976,17646,17249,17213,17848,19323,19375
0 h 20 min,18888,17503,18319,18502,18677,17042,18659,16795,18300,17107,16759,17937,18283,17305,17811,17406,17046,17304,16738,18389,17567
0 h 22 min,18680,17439,18208,17992,18667,17145,18332,17020,18176,16857,16593,17888,17614,17447,17794,17411,16922,17444,15485,17832,16139
0 h 24 min,18136,17560,18367,18008,18512,17392,18332,17388,18366,17161,16843,18069,17419,17438,17623,17541,16793,17896,14925,17088,15582
0 h 26 min,17862,17562,18735,18131,18465,16932,18282,17244,18820,17308,16878,18019,17416,17670,17863,17512,17027,18050,14368,16251,15412
0 h 28 min,17182,18180,19014,18282,18706,17273,18674,17357,18849,17089,17020,18176,17485,17455,18146,17886,16737,18204,14433,15709,14969
0 h 30 min,17145,18253,19133,18209,18724,18025,19007,17688,19105,17590,17142,18729,17642,17686,18208,17797,17105,18546,14389,15430,15094
