time,protein_concentration,protein_concentration,protein_concentration
0 h ,0,0,0
0 h 2 min,0,0,0
0 h 4 min,0,0,0
0 h 6 min,0,0,0
0 h 8 min,0,0,0
0 h 10 min,0,0,0
0 h 12 min,0,0,0
0 h 14 min,0,0,0
0 h 16 min,0,0,0
0 h 18 min,0,0,0
0 h 20 min,0,0,0
0 h 22 min,0,0,0
0 h 24 min,0,0,0
0 h 26 min,0,0,0
0 h 28 min,0,0,0
0 h 30 min,0,0,0
0 h 32 min,37.0317259987522,37.0317259987522,37.0317259987522
0 h 34 min,76.5246049322281,76.5246049322281,76.5246049322281
0 h 36 min,116.211329741108,116.211329741108,116.211329741108
0 h 38 min,155.977919360563,155.977919360563,155.977919360563
0 h 40 min,195.788351063418,195.788351063418,195.788351063418
0 h 42 min,235.626608653751,235.626608653751,235.626608653751
0 h 44 min,275.484050440061,275.484050440061,275.484050440061
0 h 46 min,315.355519074234,315.355519074234,315.355519074234
0 h 48 min,355.237770891257,355.237770891257,355.237770891257
0 h 50 min,395.128517870682,395.128517870682,395.128517870682
0 h 52 min,435.026091429207,435.026091429207,435.026091429207
0 h 54 min,474.929305336315,474.929305336315,474.929305336315
0 h 56 min,514.837272562125,514.837272562125,514.837272562125
0 h 58 min,554.749303585869,554.749303585869,554.749303585869
1 h ,594.664839731317,594.664839731317,594.664839731317
1 h 2 min,634.583419061437,634.583419061437,634.583419061437
1 h 4 min,674.504667743167,674.504667743167,674.504667743167
1 h 6 min,714.42827992856,714.42827992856,714.42827992856
1 h 8 min,754.354002059393,754.354002059393,754.354002059393
1 h 10 min,794.28162133418,794.28162133418,794.28162133418
1 h 12 min,834.210958135593,834.210958135593,834.210958135593
1 h 14 min,874.141846765683,874.141846765683,874.141846765683
1 h 16 min,914.074157634267,914.074157634267,914.074157634267
1 h 18 min,954.007755601201,954.007755601201,954.007755601201
1 h 20 min,993.942543868934,993.942543868934,993.942543868934
1 h 22 min,1033.87841890828,1033.87841890828,1033.87841890828
1 h 24 min,1073.81530388551,1073.81530388551,1073.81530388551
1 h 26 min,1113.75312117666,1113.75312117666,1113.75312117666
1 h 28 min,1153.6918013254,1153.6918013254,1153.6918013254
1 h 30 min,1193.63129174515,1193.63129174515,1193.63129174515
1 h 32 min,1233.57154218567,1233.57154218567,1233.57154218567
1 h 34 min,1273.51242644214,1273.51242644214,1273.51242644214
1 h 36 min,1313.45394045893,1313.45394045893,1313.45394045893
1 h 38 min,1353.39605673743,1353.39605673743,1353.39605673743
1 h 40 min,1393.33876033489,1393.33876033489,1393.33876033489
1 h 42 min,1433.28204886437,1433.28204886437,1433.28204886437
1 h 44 min,1473.22593249478,1473.22593249478,1473.22593249478
1 h 46 min,1513.17012296999,1513.17012296999,1513.17012296999
1 h 48 min,1553.11473163779,1553.11473163779,1553.11473163779
1 h 50 min,1593.05978634891,1593.05978634891,1593.05978634891
1 h 52 min,1633.00529397171,1633.00529397171,1633.00529397171
1 h 54 min,1672.95126982738,1672.95126982738,1672.95126982738
1 h 56 min,1712.8977376899,1712.8977376899,1712.8977376899
1 h 58 min,1752.84449014806,1752.84449014806,1752.84449014806
2 h ,1792.79151493413,1792.79151493413,1792.79151493413
2 h 2 min,1832.73889670697,1832.73889670697,1832.73889670697
2 h 4 min,1872.68663674902,1872.68663674902,1872.68663674902
2 h 6 min,1912.63473989742,1912.63473989742,1912.63473989742
2 h 8 min,1952.583214544,1952.583214544,1952.583214544
2 h 10 min,1992.53198835564,1992.53198835564,1992.53198835564
