time,protein_concentration,circuit,condition,param_set_idx,log_likelihood
0,20979.730467995745,star_antistar_1,Sense only,0,-0.4563706441691511
2,21021.984331199114,star_antistar_1,Sense only,0,-0.4563706441691511
4,21179.3080686862,star_antistar_1,Sense only,0,-0.4563706441691511
6,21422.22633653675,star_antistar_1,Sense only,0,-0.4563706441691511
8,21723.948750574626,star_antistar_1,Sense only,0,-0.4563706441691511
10,22066.057878895383,star_antistar_1,Sense only,0,-0.4563706441691511
12,22435.907147307847,star_antistar_1,Sense only,0,-0.4563706441691511
14,22824.816905339787,star_antistar_1,Sense only,0,-0.4563706441691511
16,23226.81926497585,star_antistar_1,Sense only,0,-0.4563706441691511
18,23637.81715407639,star_antistar_1,Sense only,0,-0.4563706441691511
20,24054.99715635912,star_antistar_1,Sense only,0,-0.4563706441691511
22,24476.419987766876,star_antistar_1,Sense only,0,-0.4563706441691511
24,24900.75821558323,star_antistar_1,Sense only,0,-0.4563706441691511
26,25327.101455562733,star_antistar_1,Sense only,0,-0.4563706441691511
28,25754.82167355409,star_antistar_1,Sense only,0,-0.4563706441691511
30,26183.487988256275,star_antistar_1,Sense only,0,-0.4563706441691511
32,26612.804699808737,star_antistar_1,Sense only,0,-0.4563706441691511
34,27042.56828460847,star_antistar_1,Sense only,0,-0.4563706441691511
36,27472.63881174613,star_antistar_1,Sense only,0,-0.4563706441691511
38,27902.920521035176,star_antistar_1,Sense only,0,-0.4563706441691511
40,28333.347624450354,star_antistar_1,Sense only,0,-0.4563706441691511
42,28763.874382168517,star_antistar_1,Sense only,0,-0.4563706441691511
44,29194.469118299334,star_antistar_1,Sense only,0,-0.4563706441691511
46,29625.110459908297,star_antistar_1,Sense only,0,-0.4563706441691511
48,30055.78409391504,star_antistar_1,Sense only,0,-0.4563706441691511
50,30486.480353005,star_antistar_1,Sense only,0,-0.4563706441691511
52,30917.19212384088,star_antistar_1,Sense only,0,-0.4563706441691511
54,31347.915311055127,star_antistar_1,Sense only,0,-0.4563706441691511
56,31778.64501705638,star_antistar_1,Sense only,0,-0.4563706441691511
58,32209.37949134064,star_antistar_1,Sense only,0,-0.4563706441691511
60,32640.11662455288,star_antistar_1,Sense only,0,-0.4563706441691511
62,33070.855688546915,star_antistar_1,Sense only,0,-0.4563706441691511
64,33501.59627710869,star_antistar_1,Sense only,0,-0.4563706441691511
