time,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM
0 h ,0.0,0.0,0.0
0 h 2 min,0.0,0.0,0.0
0 h 4 min,0.0,0.0,0.0
0 h 6 min,0.0,0.0,0.0
0 h 8 min,0.0,0.0,0.0
0 h 10 min,0.0,0.0,0.0
0 h 12 min,0.0,0.0,0.0
0 h 14 min,0.0,0.0,0.0
0 h 16 min,0.0,0.0,0.0
0 h 18 min,0.0,0.0,0.0
0 h 20 min,0.0,0.0,0.0
0 h 22 min,0.0,0.0,0.0
0 h 24 min,0.0,0.0,0.0
0 h 26 min,0.0,0.0,0.0
0 h 28 min,0.0,0.0,0.0
0 h 30 min,0.0,0.0,0.0
0 h 32 min,20979.730467995745,20979.730467995745,20979.730467995745
0 h 34 min,38695.65971698483,38695.65971698483,38695.65971698483
0 h 36 min,64689.30364585001,64689.30364585001,64689.30364585001
0 h 38 min,91691.0979039301,91691.0979039301,91691.0979039301
0 h 40 min,119098.49451222125,119098.49451222125,119098.49451222125
0 h 42 min,146727.2792908894,146727.2792908894,146727.2792908894
0 h 44 min,174495.90510192382,174495.90510192382,174495.90510192382
0 h 46 min,202360.85029217295,202360.85029217295,202360.85029217295
0 h 48 min,230296.3414629591,230296.3414629591,230296.3414629591
0 h 50 min,258285.73150937326,258285.73150937326,258285.73150937326
0 h 52 min,286317.5223408818,286317.5223408818,286317.5223408818
0 h 54 min,314383.62392798864,314383.62392798864,314383.62392798864
0 h 56 min,342478.090517502,342478.090517502,342478.090517502
0 h 58 min,370596.3763350587,370596.3763350587,370596.3763350587
1 h 0 min,398735.0372066229,398735.0372066229,398735.0372066229
1 h 2 min,426891.266526392,426891.266526392,426891.266526392
1 h 4 min,455062.95829336083,455062.95829336083,455062.95829336083
1 h 6 min,483247.74213276367,483247.74213276367,483247.74213276367
1 h 8 min,511444.1489783553,511444.1489783553,511444.1489783553
1 h 10 min,539651.0505875866,539651.0505875866,539651.0505875866
1 h 12 min,567867.4784074911,567867.4784074911,567867.4784074911
1 h 14 min,596092.5183303844,596092.5183303844,596092.5183303844
1 h 16 min,624325.3309358609,624325.3309358609,624325.3309358609
1 h 18 min,652565.2560019529,652565.2560019529,652565.2560019529
1 h 20 min,680811.6085087218,680811.6085087218,680811.6085087218
1 h 22 min,709063.9009436249,709063.9009436249,709063.9009436249
1 h 24 min,737321.6112728073,737321.6112728073,737321.6112728073
1 h 26 min,765584.3554820898,765584.3554820898,765584.3554820898
1 h 28 min,793851.7589976003,793851.7589976003,793851.7589976003
1 h 30 min,822123.5138761844,822123.5138761844,822123.5138761844
1 h 32 min,850399.3214832372,850399.3214832372,850399.3214832372
1 h 34 min,878678.9329628493,878678.9329628493,878678.9329628493
1 h 36 min,906962.0712641075,906962.0712641075,906962.0712641075
1 h 38 min,935248.5450755798,935248.5450755798,935248.5450755798
1 h 40 min,963538.1663792988,963538.1663792988,963538.1663792988
1 h 42 min,991830.7119693394,991830.7119693394,991830.7119693394
1 h 44 min,1020126.0595495885,1020126.0595495885,1020126.0595495885
1 h 46 min,1048424.0508184914,1048424.0508184914,1048424.0508184914
1 h 48 min,1076724.5235132803,1076724.5235132803,1076724.5235132803
1 h 50 min,1105027.3793269848,1105027.3793269848,1105027.3793269848
1 h 52 min,1133332.480234807,1133332.480234807,1133332.480234807
1 h 54 min,1161639.7149379053,1161639.7149379053,1161639.7149379053
1 h 56 min,1189948.9928765045,1189948.9928765045,1189948.9928765045
1 h 58 min,1218260.2006059717,1218260.2006059717,1218260.2006059717
2 h 0 min,1246573.257561692,1246573.257561692,1246573.257561692
2 h 2 min,1274888.081702292,1274888.081702292,1274888.081702292
2 h 4 min,1303204.5873190635,1303204.5873190635,1303204.5873190635
2 h 6 min,1331522.7071350077,1331522.7071350077,1331522.7071350077
2 h 8 min,1359842.3702904424,1359842.3702904424,1359842.3702904424
2 h 10 min,1388163.5056441142,1388163.5056441142,1388163.5056441142
