time,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM + Se6Tr3 5 nM + St6 15 nM,sfGFP 3 nM + Se6Tr3 5 nM + St6 15 nM,sfGFP 3 nM + Se6Tr3 5 nM + St6 15 nM,Negative,Negative,Negative
0 h ,26296,24312,23979,25019,24612,27434,22499,24619,25405
0 h 2 min,27413,26548,25151,26953,26192,28883,22242,24068,24676
0 h 4 min,29592,28755,26377,30774,28081,32887,21564,23068,23163
0 h 6 min,33548,32265,27912,35572,31080,38427,20485,21835,21901
0 h 8 min,39257,37087,28784,42120,35011,45920,19882,20426,20499
0 h 10 min,45911,42700,31554,50311,40862,56451,19136,18640,18788
0 h 12 min,54061,52442,35973,60422,49837,70301,17735,17738,17935
0 h 14 min,64700,63873,41743,74367,60835,87065,16898,17531,17550
0 h 16 min,77576,76718,47555,91211,72314,105489,16308,17446,17265
0 h 18 min,90995,91380,55996,110027,87240,125586,16372,17205,17373
0 h 20 min,106579,105378,65274,131399,103136,146003,16432,17125,17291
0 h 22 min,123625,122287,75027,154307,122486,168736,16213,17302,17253
0 h 24 min,140639,139392,86508,179464,142194,192728,16559,17031,17203
0 h 26 min,160528,158246,98344,205184,164327,221388,16254,17015,17406
0 h 28 min,180441,179002,111618,234039,187853,249014,16109,17228,17487
0 h 30 min,201958,200885,125614,262297,213550,279733,16227,17535,17680
0 h 32 min,226132,224083,141639,293140,241093,310562,16559,17311,17763
0 h 34 min,249852,247336,158154,325152,268279,342987,16629,17668,18049
0 h 36 min,271221,271868,175384,356477,298159,376828,16641,17685,17591
0 h 38 min,295684,296372,194738,387375,327077,409362,16710,17748,18115
0 h 40 min,322636,321137,217744,420487,360052,444743,16983,17914,18287
0 h 42 min,346411,348914,237669,454974,391569,478158,16768,18257,18365
0 h 44 min,372579,374683,260111,488897,422302,513401,17176,18006,18245
0 h 46 min,399970,401882,281631,522408,455290,548150,17330,18189,18188
0 h 48 min,427183,431350,303577,555809,482971,583668,17110,18168,18327
0 h 50 min,453998,457408,329800,589471,515835,621428,17256,18549,18306
0 h 52 min,483273,484414,353644,624439,549896,657235,17353,18164,18555
0 h 54 min,509345,513498,376594,659188,581770,694830,17372,18109,18587
0 h 56 min,537947,540477,404275,692052,615680,733924,17553,18551,18682
0 h 58 min,565682,568171,428751,726278,648627,768012,17418,18277,18888
1 h ,595893,595700,455483,758166,680557,805112,17749,18786,18863
1 h 2 min,625003,624384,482256,792035,713146,840121,17485,18467,18830
1 h 4 min,654595,651157,509290,822933,745969,877854,17882,19014,18684
1 h 6 min,683774,680282,536448,857448,778476,915256,17708,18600,18939
1 h 8 min,709681,707893,561392,886324,808508,949812,17641,18649,18716
1 h 10 min,740098,738255,590791,918075,842500,985674,17662,18696,18868
1 h 12 min,769538,764231,616780,950390,872876,1020395,17490,18694,18904
1 h 14 min,794152,785503,643883,983007,907446,1055969,17843,18873,19219
1 h 16 min,822287,816910,671137,1014537,939678,1090689,17834,18908,18845
1 h 18 min,851645,842253,697126,1044074,970081,1125699,17846,18951,18876
1 h 20 min,878115,868888,725604,1074518,1000511,1160530,18053,18960,19176
1 h 22 min,903953,896844,752790,1102680,1034256,1193738,17883,18819,19433
1 h 24 min,932761,922173,778806,1132795,1066639,1230893,17727,19030,19044
1 h 26 min,958929,949358,808481,1162895,1095929,1259275,18019,18886,19308
1 h 28 min,986609,972473,834401,1193711,1128312,1297544,17915,19187,19198
1 h 30 min,1013685,999013,859978,1224155,1158632,1331893,18049,19232,19142
1 h 32 min,1038546,1024892,885486,1252413,1194687,1361898,18041,18910,19208
1 h 34 min,1064893,1049189,913331,1281964,1221323,1398062,18248,19142,19418
1 h 36 min,1092133,1074340,940915,1311006,1251767,1427434,17937,19087,19325
1 h 38 min,1113750,1098129,963893,1337146,1282665,1460519,17768,19273,19095
1 h 40 min,1138515,1121918,988988,1367247,1312683,1492022,17881,19335,19534
1 h 42 min,1165302,1146752,1016380,1397553,1344819,1522755,18285,18990,19623
1 h 44 min,1190686,1171792,1041434,1424340,1375923,1555413,18280,19190,19354
1 h 46 min,1214186,1194261,1067918,1452282,1404154,1588016,18254,19344,19272
1 h 48 min,1238649,1219727,1091556,1480512,1434103,1617993,18105,19284,19603
1 h 50 min,1263964,1242691,1118287,1505346,1461935,1647076,17866,19210,19324
1 h 52 min,1287863,1266082,1140976,1535681,1491004,1677851,18153,19326,19587
1 h 54 min,1309521,1290269,1172040,1563554,1523319,1710152,18307,19385,19493
1 h 56 min,1332594,1313742,1192171,1592678,1553144,1739152,17968,19257,19543
1 h 58 min,1357813,1337558,1217417,1618860,1581609,1771398,17946,19225,19614
2 h ,1382606,1361554,1244383,1645578,1608437,1799821,18080,19273,19419
2 h 2 min,1402504,1384449,1263964,1671250,1638523,1828904,17980,19335,19477
2 h 4 min,1425633,1407358,1288949,1700320,1667153,1855732,18077,19052,19502
2 h 6 min,1448267,1425894,1309988,1725264,1695589,1885970,17962,19731,19414
2 h 8 min,1470240,1449587,1337545,1753219,1720465,1914888,18125,19465,19561
2 h 10 min,1495322,1471863,1360082,1781161,1749176,1943627,17849,19084,19332
2 h 12 min,1513666,1496353,1381644,1806270,1777792,1974704,17823,19118,19455
2 h 14 min,1538871,1513913,1406808,1830994,1804977,2002948,18004,19417,19389
2 h 16 min,1555276,1537675,1428108,1858894,1834638,2032526,18014,19426,19617
2 h 18 min,1580234,1558273,1450934,1884829,1861906,2063301,17648,19328,19333
2 h 20 min,1604793,1580797,1473912,1909195,1888720,2088836,18040,19304,19300
2 h 22 min,1626175,1598426,1497522,1932420,1917734,2117287,17801,19220,19403
2 h 24 min,1648754,1618021,1518038,1961613,1942073,2143097,17658,19302,19304
2 h 26 min,1664210,1641727,1540164,1987300,1967279,2169952,17643,19379,19408
2 h 28 min,1690777,1660992,1563705,2012890,2001766,2199366,17724,19499,19532
2 h 30 min,1711980,1682155,1585610,2039636,2021347,2229411,17924,19287,19202
2 h 32 min,1733624,1701640,1609564,2060331,2050540,2258192,18055,19435,19596
2 h 34 min,1754086,1727684,1629352,2085839,2078124,2280922,18196,19496,19360
2 h 36 min,1776156,1744281,1652412,2113767,2102491,2309331,18031,19239,19176
2 h 38 min,1797332,1767726,1674441,2138422,2133568,2338428,17747,19730,19455
2 h 40 min,1817449,1784832,1700677,2162431,2154290,2364665,17819,19376,19729
2 h 42 min,1842022,1807769,1716463,2193109,2184088,2394408,18122,19401,19480
2 h 44 min,1855773,1828918,1739730,2210105,2207300,2418252,17794,19395,19589
2 h 46 min,1880497,1847358,1758720,2236933,2230332,2445822,18036,19164,19744
2 h 48 min,1896352,1868328,1784695,2262619,2253173,2472361,17838,19588,19557
