time,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 15 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 10 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 5 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 3 nM,Se6 5 nM + St6 0 nM,Se6 5 nM + St6 0 nM,Se6 5 nM + St6 0 nM,Negative,Negative,Negative
0 h ,25433,25120,25199,22017,27356,22402,28018,26959,26769,26147,28749,26532,26881,28015,27250,16955,17185,17991
0 h 2 min,25230,25534,25420,21551,25954,22145,27222,26530,25907,25593,28144,26225,26526,27810,26903,16983,17140,17716
0 h 4 min,25533,25218,25317,21161,25409,22590,27030,26094,25766,25354,27478,25651,26141,27369,26372,17291,16781,17445
0 h 6 min,25066,24715,24804,20312,24782,22631,26503,25974,25967,25306,27327,25392,25812,27333,26420,17229,17063,17425
0 h 8 min,24782,24614,24251,19785,24098,22475,25114,24963,25075,24869,26206,25006,24805,26590,25809,17090,17591,17425
0 h 10 min,24238,24064,23495,19234,22929,22033,23830,23827,24331,23862,25462,23985,23777,25160,24640,17208,17417,17440
0 h 12 min,23691,23019,22577,18545,21751,21731,22713,22498,23148,23044,24511,22857,22492,23838,23727,17434,17391,17321
0 h 14 min,22121,21291,20526,18252,20574,21761,20505,21264,21861,21458,23204,21704,21107,22749,22416,17060,17237,17257
0 h 16 min,19989,18977,18342,17655,19772,20779,18565,19334,20787,20789,22147,20621,19422,20860,21238,17406,17858,17199
0 h 18 min,18402,17869,18066,17288,18824,20779,18062,18178,19277,19256,20265,18957,17779,19245,19324,17482,17477,17321
0 h 20 min,18252,17621,17790,16950,18938,19832,17925,17934,17847,18189,19804,17721,17567,18288,18031,17499,17741,17262
0 h 22 min,18151,17451,17636,16894,18895,19433,17811,17773,17907,17625,19440,17568,17479,18554,17710,17822,17504,17287
0 h 24 min,18280,17631,17956,16979,18924,18668,17779,17717,17905,17645,19398,17569,17469,18101,17508,17583,17642,17622
0 h 26 min,18027,17714,18095,16783,18640,18138,18015,18048,17637,17645,19211,17652,17413,18159,17596,17627,17692,17478
0 h 28 min,18483,18088,18543,17235,19545,18082,18269,18501,17871,17583,19361,17717,17331,18090,18003,17633,17975,17722
0 h 30 min,18739,18455,18587,17273,19392,17976,18631,18266,18079,17944,19306,17799,17680,18454,18015,17805,17806,17689
0 h 32 min,19185,18760,18932,17632,19840,18136,18792,18572,18144,17855,19315,17899,17917,18641,18120,17675,17985,17820
0 h 34 min,19312,18968,19312,18466,20388,18416,18860,18905,18468,18211,19738,18111,18269,18670,18430,17834,17950,17686
0 h 36 min,19657,19306,19803,19009,21164,18540,19287,19020,18635,18591,19738,18315,18501,18759,18727,17797,17929,17972
0 h 38 min,20206,19702,20158,19592,21373,18468,19496,19429,19224,18821,20155,18571,18408,19038,18589,17777,18011,17985
0 h 40 min,20375,20191,20438,19969,21482,18838,19961,19383,19064,19063,20115,18836,18708,19537,19111,18055,18343,17833
0 h 42 min,20665,20238,20777,20306,22326,19611,20438,20130,19502,19480,20336,19205,19203,19662,19246,18003,18264,17723
0 h 44 min,21225,20879,20970,21114,23013,19977,20629,20536,19650,19568,20551,19529,19228,19838,19395,18105,18086,17835
0 h 46 min,21398,21087,21727,21488,23648,20586,20903,20745,20165,19896,20777,19550,19994,20125,19635,18295,18174,18141
0 h 48 min,22357,21427,21887,21894,24183,20948,21305,21171,20512,19943,21128,19975,19812,20378,19957,18342,18241,17954
0 h 50 min,22474,21926,22371,22345,24145,21634,21344,21742,20965,20405,21617,20012,20058,20778,20272,18325,18537,18294
0 h 52 min,22776,22096,22780,23002,24920,22060,22311,21864,21442,20788,21590,20771,20506,20908,20617,18204,18302,18258
0 h 54 min,23437,22722,23144,23223,25416,22409,22701,22429,21675,21167,21833,21025,20633,21276,20986,18489,18474,18150
0 h 56 min,24027,23225,23995,23660,26385,23097,22770,22266,21867,21392,22252,21394,20853,21564,21319,18519,18300,18547
0 h 58 min,24469,23500,24251,24110,26872,24105,23284,23078,22950,21857,22582,21605,21098,21845,21564,18446,18522,18211
1,24828,24131,24705,24378,27038,24491,23921,23125,22574,21731,22765,21988,21318,21743,21779,18527,18567,18628
1 h 2 min,25323,24401,25329,25056,27947,25042,24205,24061,22985,22583,23164,22043,21515,22026,22421,18501,18632,18623
1 h 4 min,25989,25026,25842,25696,28079,25496,24589,24459,23782,22678,23588,22508,21936,22493,22338,18594,18627,18606
1 h 6 min,26683,25103,26425,25971,29301,26121,25360,24990,24108,23312,24107,23095,22238,22856,22614,18639,18877,18382
1 h 8 min,27068,25535,26669,26160,30085,26692,25672,25442,24794,23663,24261,23199,22768,23098,22980,18672,18640,18671
1 h 10 min,27708,26587,27276,26809,30566,27232,25883,25979,25150,23738,24746,23866,22816,23233,23376,18596,19066,18853
1 h 12 min,28248,26817,27924,27664,31067,27939,26661,26575,25437,24572,25261,24042,23376,23906,23418,18624,18808,18593
1 h 14 min,28696,27165,28489,28027,31995,28789,26859,26888,25792,24793,25680,24305,23224,24109,23796,18890,18881,18823
1 h 16 min,29327,27795,29201,28677,32113,29074,27868,27534,26137,24955,26096,24508,23738,24118,24096,18906,19027,18743
1 h 18 min,29966,28373,29893,29066,32885,29466,28081,27776,26472,25831,26610,24703,24167,24431,24235,18945,19035,18971
1 h 20 min,30380,28754,30834,29471,33485,30172,28528,28668,27104,25755,26779,25401,24066,24877,24544,18909,19033,19028
1 h 22 min,31047,29334,31044,29528,33944,30649,29025,28760,27293,26385,27233,25942,24507,25076,25015,18785,19119,19177
1 h 24 min,31936,30002,31906,30232,34592,31370,29549,29141,28078,26661,27674,26074,24933,25491,25160,19248,19437,19314
1 h 26 min,32536,30246,32537,30777,35027,32191,30176,29799,28496,26789,28107,26422,25079,25642,25580,19176,19255,19197
1 h 28 min,33197,30624,33040,31510,35469,32557,30577,30250,29038,27246,28738,26946,25221,25861,25835,19493,19030,19354
1 h 30 min,34102,31258,33544,31942,36193,33387,30779,30704,29688,27846,28811,27371,25375,26237,25995,19127,19324,19118
1 h 32 min,34738,31768,34333,32426,37055,33834,31562,30744,30135,27962,29216,27609,25974,26229,26330,19426,19347,19464
1 h 34 min,35020,32512,34804,29976,37364,34728,32009,31465,30899,28621,29609,28025,25989,26778,26616,19358,19391,19404
1 h 36 min,35814,32850,34836,33089,37715,35057,32636,31760,31304,28926,29826,28643,26232,26934,26704,19185,19288,19318
1 h 38 min,36146,33277,36116,33376,38422,35729,33158,32170,31615,29711,30459,28850,26310,27330,27180,19410,19666,19297
1 h 40 min,37241,34392,36390,34240,39213,36507,33216,32742,32160,29593,30682,29258,26892,27643,27343,19340,19372,19508
1 h 42 min,37667,34537,36821,34814,39930,36959,33955,33292,32740,29909,31123,29616,27221,27983,27682,19699,19307,19654
1 h 44 min,38550,34932,37811,35117,41068,37166,34163,33896,33756,30193,31691,29842,27248,27836,27874,19515,19518,19538
1 h 46 min,39703,35660,37715,36079,41033,37863,34631,34135,33912,30553,31921,30169,27621,28218,28376,19416,19770,19817
1 h 48 min,40222,36287,38762,35965,41752,38739,35266,35077,34204,31005,32323,30572,28028,28703,28418,19368,19621,19698
1 h 50 min,40804,36463,39528,36318,42150,39398,35804,35160,34575,31293,32417,31076,28085,28719,28636,19631,19684,19654
1 h 52 min,41346,37128,39472,36965,42932,39721,36525,35763,35258,31995,33109,31449,28243,29176,28940,19691,19788,19712
1 h 54 min,42299,37733,40367,37652,43486,40397,36524,35864,35705,31849,32960,31536,28552,29335,29061,19914,20079,19599
1 h 56 min,42471,37914,40732,38142,44233,41210,37011,36531,36260,32337,34116,32162,28891,29656,29374,19493,19935,19910
1 h 58 min,43675,38845,41674,38363,44532,41385,37823,36735,36353,32668,34169,32307,29058,29834,29582,19672,19685,19892
2 h ,44082,39333,42825,38788,45269,41641,38523,37506,37338,33190,34452,32572,28773,30476,30308,19794,19750,19684
2 h 2 min,44901,39780,42825,39484,45411,42783,38773,37792,37260,33551,34997,33110,29312,30196,30234,19641,19909,20151
2 h 4 min,45897,40463,44029,39809,46142,43359,39136,38911,38130,34001,35303,33452,29844,30862,30347,19749,19834,19995
2 h 6 min,46422,40825,44354,40524,46542,43901,39619,38690,38434,34171,35728,33792,30083,30754,30549,19920,19914,20125
2 h 8 min,47110,41371,44945,40913,47312,44455,40056,39096,38798,34875,35892,34083,30211,31390,31063,19909,20224,19865
2 h 10 min,47641,42145,45703,41074,47939,45335,40356,39494,39368,35154,36587,34800,30560,31638,31177,20111,20066,20093
2 h 12 min,48690,42372,45801,41800,48775,45714,41040,39793,39391,35385,36709,35442,30634,31566,31253,20103,20021,20150
2 h 14 min,49339,42799,46545,42084,48927,46353,41649,40168,40342,35715,36946,35435,30791,31601,31626,19990,20017,20277
2 h 16 min,50003,43702,46951,42594,49434,46680,41989,40726,39939,36511,37192,35765,31123,32227,31606,20153,20258,20303
2 h 18 min,50730,44531,47796,43159,49953,47584,42273,41105,40801,36450,37601,35967,31534,32437,31930,20330,20044,20587
2 h 20 min,51027,44632,48271,43470,50122,47877,42418,41579,41422,36519,38270,36359,31644,32560,32106,20169,20023,20379
2 h 22 min,52818,45179,48994,44329,51188,48344,43030,42097,41536,37321,38378,36715,31984,32749,32313,20311,20426,20228
2 h 24 min,53060,46112,49569,45004,51650,48817,43624,42230,42191,37560,38574,36919,31787,33352,32785,20306,20382,20110
2 h 26 min,53406,46323,50033,45006,52447,49919,43867,42978,42307,37891,38719,37251,32264,33230,33040,20321,20388,20031
2 h 28 min,53620,46918,50347,45713,53136,50178,44577,43465,43125,38577,39109,37537,32671,33479,33310,20530,20605,20354
2 h 30 min,54692,47128,50836,46010,53924,50466,44953,43708,43077,38237,39264,37904,32932,33692,33336,20476,20376,20128
2 h 32 min,55634,47929,51579,46146,53928,50972,45070,44331,43999,38890,39839,38310,32968,33938,33684,20521,20348,20357
2 h 34 min,56724,48514,52081,46735,54567,51530,45398,45074,44268,39591,40496,38173,33295,34299,33401,20743,20756,20652
2 h 36 min,56601,48921,52682,47438,54966,52140,46329,44793,44487,39893,40881,38703,33450,34361,33942,20334,20733,20853
2 h 38 min,57686,49420,52968,47948,55485,52545,46865,45792,45013,39958,40822,39134,33360,34597,34572,20469,20751,20751
2 h 40 min,58877,50282,53297,47651,56368,53326,47513,46104,44795,40081,41249,39581,33743,34967,34361,20625,20770,20623
2 h 42 min,59252,50838,54488,48505,56561,53902,47913,46408,45366,40373,41652,39929,33861,35346,34735,20845,20774,20531
2 h 44 min,60439,51380,54868,49496,57200,53999,47789,46928,46057,40968,41900,40334,34260,35164,34920,20875,20965,20462
2 h 46 min,60621,51898,55363,49567,57802,55160,48886,47241,46557,41085,42350,40311,34560,36017,34842,20921,20771,20917
2 h 48 min,61054,52491,56040,50208,58249,55780,49008,47537,46908,41924,42489,41148,34410,35767,35085,20909,20898,20504
2 h 50 min,62413,52945,56438,50594,58940,56254,49557,48014,47053,41628,43191,41432,34879,35900,35675,21015,21061,20670
2 h 52 min,62746,53510,56996,50761,59585,57089,50211,48437,47802,41940,43406,41693,34895,36338,35248,20937,20921,20986
2 h 54 min,63345,54255,57410,51680,60088,57203,50146,48747,48005,42489,43536,42186,35561,36075,35881,21036,20996,20733
2 h 56 min,64049,54335,58198,51923,60492,57952,51115,49396,48629,43052,43507,42043,35401,36588,35965,21143,20992,20989
2 h 58 min,65246,54965,58649,51998,60721,58511,51669,50095,48308,43292,44616,42515,35766,37037,35683,21079,20958,20555
