time,To3 5 + Tr3 5,To3 5 + Tr3 5,To3 5 + Tr3 5,To3 5 + Tr3 4,To3 5 + Tr3 4,To3 5 + Tr3 4,To3 5 + Tr3 3,To3 5 + Tr3 3,To3 5 + Tr3 3,To3 5 + Tr3 2,To3 5 + Tr3 2,To3 5 + Tr3 2,To3 5 + Tr3 1,To3 5 + Tr3 1,To3 5 + Tr3 1,To3 5,To3 5,To3 5,Negative,Negative,Negative
0 h ,16196,16995,16777.5,16556.5,16482.5,15636,16044,16355.5,16688,16106,15479,16545,15293.5,15058.5,17083.5,16478,16063,15825,15792,15460,15984
0 h 2 min,16131.5,16820,16782,16544.5,16533,15598.5,15848.5,15926.5,16555,16001,15478.5,16154.5,15197.5,14932,16741,16471,15591,15538,15740,15062,15966
0 h 4 min,16332,16873.5,16773,16575.5,16499,15681,15799.5,16070,16613.5,15826,15430.5,15934.5,15144.5,14926,16730.5,16429,15557,15454,15206,15211,16140
0 h 6 min,16406,17131.5,16899,16610,16592.5,16019.5,15904,16055,16412,15665,15272,15998,15130.5,14896,16833.5,16028,15549,15331,15047,15042,15662
0 h 8 min,16697.5,17203,17257,16798,16897,16249.5,16043,16331.5,16477,15694,15442.5,15976,15122,15133,16790,16033,15472,15307,15232,14939,15567
0 h 10 min,16893.5,17537,17620,16962.5,17007,16355.5,16291,16423.5,16621,15734,15401.5,16031.5,15309.5,15304.5,17171,16014,15670,15329,15128,15017,15428
0 h 12 min,17294.5,17878.5,17801,17301,17337.5,16627.5,16429.5,16694.5,16718.5,15902,15580.5,16225.5,15555,15552.5,17265,16223,15812,15605,15384,14809,15413
0 h 14 min,17662,18402,18269,17688.5,17490,17181.5,16676.5,17032.5,17131.5,16171,16040.5,16077,15735,15451.5,17655,16433,15707,15353,15204,15117,15608
0 h 16 min,18215.5,18633,18676,18071,17934.5,17451.5,16957,17369.5,17455.5,16259.5,16111.5,16430.5,16092,15464.5,17970.5,16386,15884,15445,15626,15140,15663
0 h 18 min,18990.5,19388,19165,18410,18354,17972,17345,17750.5,17848,16617.5,16333.5,16630.5,16275,15737.5,18244.5,16374,15791,15784,15510,15159,15765
