time,Negative,Negative,Negative,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM
0 h,22499,24619,25405,22902,23681,24213,24104,22905,23162,24101,25691,25590,25442,25094,25927,17941,22763,22628
0 h 2 min,22242,24068,24676,22266,22717,23613,23428,22163,22155,22577,24122,24017,24109,23886,25569,17712,21757,22290
0 h 4 min,21564,23068,23163,21281,21734,22146,22264,20880,20877,21545,22424,22435,22602,22596,25539,17744,20790,21191
0 h 6 min,20485,21835,21901,20339,20356,21077,21068,19634,19776,20197,21022,21346,21180,21195,25518,18134,19676,19421
0 h 8 min,19882,20426,20499,19330,19815,19671,20021,18398,18580,18326,19227,19284,19182,19857,25319,18558,18800,17978
0 h 10 min,19136,18640,18788,18231,18594,18301,18119,17150,16653,16954,18003,17547,17527,18230,25129,18570,17550,16470
0 h 12 min,17735,17738,17935,16983,17209,16955,16871,15904,16114,16734,17554,17242,17468,17073,24346,18770,16982,15800
0 h 14 min,16898,17531,17550,16645,16932,16976,16625,15677,15605,16473,17316,17023,17029,16891,24161,18848,16586,15737
0 h 16 min,16308,17446,17265,16573,16757,16532,16421,15523,15462,16573,17248,16902,16735,16731,23304,19179,16315,15741
0 h 18 min,16372,17205,17373,16728,16598,16747,16226,15618,15433,16454,17417,17069,17276,16796,22501,19839,16200,15425
0 h 20 min,16432,17125,17291,16581,17027,16785,16153,15437,15521,16510,17552,17159,16930,16520,21745,19849,16213,15680
0 h 22 min,16213,17302,17253,16817,17075,17110,16016,15331,15634,16497,17608,17050,16863,16490,21199,20271,16061,15898
0 h 24 min,16559,17031,17203,16850,17289,17233,16234,15390,15554,16828,17576,17215,17069,16766,19899,20455,16242,15596
0 h 26 min,16254,17015,17406,17436,17675,17547,16323,15479,15627,17206,17803,17607,17432,16827,18451,20478,16667,16031
0 h 28 min,16109,17228,17487,17453,17890,17698,16472,15763,15567,17199,18075,17365,17770,17003,17489,20541,17105,16236
0 h 30 min,16227,17535,17680,17875,18169,18050,16462,15725,15947,17429,18178,18020,17450,17075,16929,20785,17176,16273
0 h 32 min,16559,17311,17763,18054,18593,17964,16513,15791,15601,17481,18197,17821,17799,17171,17155,20922,17423,16533
