time,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,Se6To3,Se6To3,Se6To3,Se6To3,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM
0 h,-462.5,-89.5,470.5,81.5,65.5,-521.5,364.5,91.5,234.75,435.75,-299.25,-371.25,8.5,354.5,-315.5,-47.5,355.5,-197.5,-10.5,-147.5,683.5,-189.5,103.5,-597.5,77.25,77.25,-207.75,53.25,-452.25,73.75,87.75,290.75,-214.75,167.25,324.25,-276.75
0 h 2 min,-593.5,-538.5,212.5,-188.5,327.5,-530.5,97.5,-222.5,115.75,-236.25,-297.25,-685.25,-969.5,-638.5,-695.5,-543.5,-311.5,-692.5,-764.5,-848.5,397.5,-793.5,-137.5,-1023.5,-901.75,-493.75,-534.75,-532.75,-760.25,-635.25,-598.25,-271.25,-413.75,-1033.75,-158.75,-802.75
0 h 5 min,-842.5,-1016.5,-204.5,-438.5,-265.5,-907.5,-354.5,-607.5,4.75,-492.25,-1063.25,-621.25,-1010.5,-363.5,-1213.5,-699.5,-1155.5,-516.5,-582.5,-1057.5,-290.5,-518.5,-376.5,-1191.5,-541.75,-684.75,-938.75,-597.75,-842.25,-331.25,-786.25,-96.25,-133.75,-1376.75,-437.75,-860.75
0 h 7 min,-1107.5,-1191.5,-378.5,-697.5,-622.5,-1054.5,-873.5,-809.5,-604.25,-714.25,-1215.25,-743.25,-1258.5,-452.5,-1324.5,-1070.5,-1074.5,-1342.5,-865.5,-1129.5,-569.5,-1067.5,-249.5,-1223.5,-984.75,-1273.75,-1510.75,-805.75,-991.25,-1005.25,-656.25,-522.25,-362.75,-1197.75,-828.75,-928.75
0 h 9 min,-1039.5,-1325.5,-425.5,-789.5,-1316.5,-815.5,-1043.5,-977.5,-855.25,-1121.25,-1079.25,-1331.25,-1454.5,-673.5,-1984.5,-1824.5,-1228.5,-1540.5,-1605.5,-1199.5,-452.5,-964.5,-801.5,-909.5,-826.75,-1454.75,-1346.75,-1369.75,-872.25,-935.25,-853.25,-1376.25,-1127.75,-1176.75,-1421.75,-896.75
0 h 12 min,-1704.5,-1545.5,-826.5,-1278.5,-984.5,-933.5,-1520.5,-1186.5,-745.25,-1434.25,-1470.25,-467.25,-1188.5,-1299.5,-2347.5,-1217.5,-714.5,-1728.5,-1663.5,-965.5,-1091.5,-1022.5,-1136.5,-1406.5,-1286.75,-1383.75,-1659.75,-1383.75,-741.25,-1324.25,-592.25,-1324.25,-1361.75,-1379.75,-1479.75,-1023.75
0 h 14 min,-1532.5,-1378.5,-1252.5,-1776.5,-1752.5,-1074.5,-1846.5,-1394.5,-1079.25,-1480.25,-1546.25,-851.25,-1739.5,-1638.5,-2211.5,-1424.5,-1140.5,-1503.5,-1900.5,-1073.5,-849.5,-1440.5,-1049.5,-1485.5,-1265.75,-1835.75,-1798.75,-1375.75,-1009.25,-1476.25,-369.25,-1392.25,-1425.75,-1146.75,-1709.75,-897.75
0 h 17 min,-1632.5,-1194.5,-1320.5,-1212.5,-1547.5,-1228.5,-1739.5,-1378.5,-946.25,-1609.25,-1264.25,-1325.25,-1659.5,-1917.5,-2043.5,-1829.5,-1190.5,-1868.5,-1384.5,-1432.5,-917.5,-1735.5,-1660.5,-1411.5,-1364.75,-2115.75,-1686.75,-1777.75,-1316.25,-1464.25,-602.25,-1653.25,-1916.75,-1414.75,-1777.75,-1090.75
0 h 19 min,-1464.5,-848.5,-820.5,-649.5,-1672.5,-998.5,-1637.5,-1205.5,-1358.25,-1509.25,-1762.25,-1249.25,-1903.5,-2012.5,-2613.5,-2128.5,-1575.5,-1579.5,-1852.5,-1333.5,-1103.5,-1508.5,-1293.5,-1753.5,-1513.75,-1698.75,-1962.75,-1592.75,-1583.25,-1394.25,-354.25,-2111.25,-1713.75,-1594.75,-1221.75,-1290.75
0 h 21 min,-675.5,-998.5,-377.5,-680.5,-1205.5,-1632.5,-1253.5,-1681.5,-1190.25,-1408.25,-1881.25,-1094.25,-1580.5,-1696.5,-2372.5,-1749.5,-2022.5,-2201.5,-1993.5,-1845.5,-1215.5,-2151.5,-1628.5,-1779.5,-1794.75,-1824.75,-1783.75,-1555.75,-1919.25,-1874.25,-250.25,-1796.25,-1987.75,-1874.75,-1867.75,-1685.75
