time,T + SeTr + St 15,T + SeTr + St 15,T + SeTr + St 15,T + SeTr + St 10,T + SeTr + St 10,T + SeTr + St 10,T + SeTr + St 7,T + SeTr + St 7,T + SeTr + St 7,T + SeTr + St 5,T + SeTr + St 5,T + SeTr + St 5,T + SeTr ,T + SeTr ,T + SeTr ,T ,T ,T ,Se + T + SeTr + St 15,Se + T + SeTr + St 15,Se + T + SeTr + St 15,Se + T + SeTr + St 10,Se + T + SeTr + St 10,Se + T + SeTr + St 10,Se +T + SeTr + St 7,Se +T + SeTr + St 7,Se +T + SeTr + St 7,Se + T + SeTr + St 5,Se + T + SeTr + St 5,Se + T + SeTr + St 5,Se + To + SeTr,Se + To + SeTr,Se + To + SeTr,Se + To ,Se + To ,Se + To ,Se + ST 15,Se + ST 15,Se + ST 15,Se + ST 10,Se + ST 10,Se + ST 10,Se + ST 7,Se + ST 7,Se + ST 7,Se + ST 5,Se + ST 5,Se + ST 5,Se ,Se ,Se ,Negative ,Negative ,Negative 
0 h ,13907,13622,18365,18536,19298,20613,19366,18952,19473,20407,16128,17640,21153,21586,21823,21437,20687,20569,23490,22110,23161,23413,20495,24491,20747,22183,22682,25005,25753,25401,21414,24550,23733,24311,24923,22063,27250,17264,23552,23449,21328,18784,23853,25416,24161,24450,26421,28536,28059,27238,27008,20696,20811,21598
0 h 2 min,13733,13570,17835,17803,18467,19449,18373,18111,18735,19747,15642,17553,20169,20757,20917,20468,20051,19844,24542,22247,23241,24725,20762,24027,21682,21938,23151,26469,25019,25179,21553,24626,23584,25341,24097,22325,27884,17385,24102,23378,21431,18325,24003,25804,23895,23724,26471,26500,27754,26150,26176,19771,19507,21090
0 h 4 min,13666,13443,17017,16959,16679,17481,17142,17059,17602,18350,15278,17115,18936,19460,19573,18820,18371,18992,25133,21507,22808,22365,20744,24206,22081,22558,22804,25200,24311,24540,20961,23894,22494,24148,23540,22082,27090,18068,23915,23029,20168,18706,23516,24869,24978,24068,23952,24660,25665,24034,23641,18072,17609,20268
0 h 6 min,12995,12763,15746,15762,15101,16275,15227,16067,16231,17037,14198,15980,17313,17573,17575,17251,16807,17339,23618,21881,21932,21549,20743,23231,22371,23187,22500,25083,22790,22859,21425,24337,21845,22859,23623,21494,23926,17639,22922,22261,19149,17463,24510,24753,24635,23484,24091,22187,24457,22092,21633,16010,15354,19448
0 h 8 min,12166,12583,14483,14766,13192,14505,13872,14563,14789,15324,13728,14961,15815,15814,15613,15550,14856,16001,21664,19617,20475,20111,19936,23675,23188,22916,22543,23118,22370,20733,20108,23368,20879,21208,23152,20271,23061,18717,21580,21325,18154,16985,23941,26296,24496,23514,20951,19681,21081,20400,18759,14345,12923,16821
0 h 10 min,11983,11748,13982,13514,11757,12763,12218,13094,13165,13959,12981,13789,13937,13845,13523,13495,12999,14423,20946,18670,19770,18811,19243,23166,23112,22909,21561,21179,20689,18914,19950,22446,19947,20313,21986,20755,21522,18911,20736,20425,16963,15613,23953,24649,23553,23002,18758,18841,19122,18307,17244,12028,11418,13505
0 h 12 min,11470,11278,12682,12275,10976,12016,11168,11972,11959,12683,12106,12814,12447,12244,12448,12227,12042,12825,21527,18612,19399,17664,18868,23006,23124,22712,21209,21633,20195,18829,19196,21162,19003,19815,20965,19003,20037,19842,18789,17850,16380,14677,22526,24685,22484,20698,19771,17668,18875,17234,16784,11205,11019,11701
0 h 14 min,11144,11147,11752,11548,10768,11816,10963,11083,11490,11717,11210,11751,12000,11972,11987,11922,11597,11683,21750,17725,19751,17892,18279,21916,22800,22800,19706,20485,20226,19491,18703,19883,18553,18448,20137,18488,20951,19962,17152,16493,15243,13650,21553,22658,21198,18698,18496,17702,18952,17080,16694,10912,10777,11391
0 h 16 min,10634,10715,11516,11325,10694,11635,11011,10877,11352,11668,10243,10967,11630,11784,11850,11596,11488,11403,22562,18387,19953,19534,17540,21950,22443,21939,19118,20135,22187,19414,18227,20327,18638,18717,18961,17193,18811,20992,17150,16255,15310,13358,20033,22079,19388,18217,20349,18214,19947,18599,16791,10484,10763,11248
0 h 18 min,10359,10442,11357,11321,10822,11844,11135,10711,11536,11811,9892,10630,12009,12055,11757,11572,11249,11208,24076,19034,19757,19835,17963,21682,21313,21279,19672,20085,21852,19254,17845,20774,18787,17880,18759,17331,19846,20245,17605,15992,15845,13231,18485,19868,17881,16893,19301,19164,18489,17217,16451,10434,10531,11382
