time,Se1 3 nM,Se1 3 nM,Se1 3 nM,Se1 3 nM + St1 15 nM,Se1 3 nM + St1 15 nM,Se1 3 nM + St1 15 nM
0 h,416,-267,55,0,0,0
0 h 6 min,165,12,54,702,234,-286
0 h 12 min,564,593,210,1205,952,380
0 h 18 min,922,690,441,1654,1603,1168
0 h 24 min,1032,693,582,2590,2202,1678
0 h 30 min,1130,1002,1087,3561,3148,3132
0 h 36 min,1202,1182,1412,4279,4034,4051
0 h 42 min,1998,1468,1324,5587,5553,4832
0 h 48 min,2248,2028,2187,6405,6547,5959
0 h 54 min,2060,2399,1764,7627,7261,7063
1 h,2831,2702,2334,9105,9141,8043
1 h 6 min,2984,2511,2515,10258,10297,8570
1 h 12 min,3238,3545,2997,12009,11173,9758
1 h 18 min,3763,3033,3347,12864,12795,10940
1 h 24 min,3998,3583,3482,13778,13742,12374
1 h 30 min,4264,3889,3569,15724,14852,13354
1 h 36 min,4077,4180,3974,17010,16182,13952
1 h 42 min,4594,4275,4605,18239,18095,15406
1 h 48 min,4800,4772,4370,19592,18935,16798
1 h 54 min,5063,5059,4910,21089,20706,17933
2 h,5473,4996,4707,22040,21979,19053
2 h 6 min,5831,5232,5281,23163,23124,19977
2 h 12 min,5980,5799,5373,25013,24089,21095
2 h 18 min,5953,6149,5614,26444,26293,22291
2 h 24 min,6452,6445,6299,27320,27538,23488
2 h 30 min,6464,6768,5870,28559,29043,24703
2 h 36 min,6738,6446,6506,29880,30418,25879
2 h 42 min,7183,6825,6753,31564,31755,26744
2 h 48 min,7020,7018,6844,32985,32829,28201
2 h 54 min,7032,7046,7072,34050,33865,29166
3 h,7381,7247,7117,35373,34859,30469
3 h 6 min,7678,7699,7494,36718,35926,31742
3 h 12 min,7973,7769,7870,38456,37524,32410
3 h 18 min,7988,8098,7844,39202,39007,33660
3 h 24 min,8480,8140,8299,40342,40719,35144
3 h 30 min,8009,8331,8552,41585,41646,35900
3 h 36 min,8265,8650,8241,43050,42914,37284
3 h 42 min,8636,8416,8381,43853,44218,38243
3 h 48 min,9063,8998,8787,45546,45333,39218
3 h 54 min,9300,8847,9232,46479,47445,40531
4 h,9405,9221,9116,47430,48037,41961
4 h 6 min,8874,9263,9214,48725,48534,42334
4 h 12 min,9395,9443,9160,49909,50555,43205
4 h 18 min,9450,9123,8946,51189,51640,44490
4 h 24 min,9773,9364,9468,52191,52823,45399
4 h 30 min,9729,9720,9347,52508,53523,46894
4 h 36 min,9745,9753,9851,54154,54926,47690
4 h 42 min,9772,10370,9704,55472,55512,48702
4 h 48 min,10352,10512,10043,56236,56690,49101
4 h 54 min,10227,10198,9956,57567,57504,50480
5 h,10544,10608,10445,58338,59290,51190
5 h 6 min,10621,10471,10460,59694,59507,52184
5 h 12 min,10637,10547,10230,60913,60866,53524
5 h 18 min,10878,10970,10808,61019,62070,54139
5 h 24 min,11199,11175,10715,62333,63487,55325
5 h 30 min,10890,11303,10296,63494,63742,56148
5 h 36 min,11099,10908,10479,64978,65103,57372
5 h 42 min,11075,11625,10923,65455,65730,58339
5 h 48 min,10902,11497,10700,67114,67862,59812
5 h 54 min,11241,11377,11136,67845,69290,60373
6 h,11557,11657,11020,69978,69506,61753
6 h 6 min,11652,11511,11416,70507,71055,63298
6 h 12 min,11580,11715,11564,71869,72737,64310
6 h 18 min,11593,11654,11448,73715,73856,65458
6 h 24 min,11890,11876,11371,74769,75546,67265
6 h 30 min,11987,12278,12222,76221,77010,68653
6 h 36 min,11211,12169,11035,78609,79421,70240
6 h 42 min,12153,12001,11823,79821,80037,72319
6 h 48 min,12082,12086,12054,80981,81838,73356
6 h 54 min,12105,12014,12282,82898,83790,75714
7 h,12351,12417,12203,84808,86049,76697
7 h 6 min,12685,12338,12312,86491,86820,79036
7 h 12 min,12392,12678,12335,88761,88815,80414
7 h 18 min,12928,12957,12496,90207,90747,82196
7 h 24 min,12673,12680,12363,92161,92676,83491
7 h 30 min,13136,13467,12626,93154,94479,85631
7 h 36 min,13158,13144,12196,95374,96196,86798
7 h 42 min,13137,13069,12654,96497,97799,88114
7 h 48 min,13095,12837,12966,98094,99433,89863
7 h 54 min,13003,13479,13019,99396,100898,90891
8 h,13337,13201,13022,100750,102379,91754
8 h 6 min,13702,13162,13294,102225,104092,94043
8 h 12 min,13309,13588,12765,104165,105529,95076
8 h 18 min,13642,13227,13281,104812,106510,95555
8 h 24 min,13872,13873,13413,106357,108401,97145
8 h 30 min,13607,13778,13348,108079,109119,98406
8 h 36 min,13751,13686,13509,108512,111693,99669
8 h 42 min,13871,14095,13974,110164,112282,100503
8 h 48 min,13853,13983,13772,111141,113050,101056
8 h 54 min,14136,14255,13817,111802,113496,101065
9 h,13965,14363,13662,112780,115607,102469
9 h 6 min,13959,14259,13817,113836,115886,104069
9 h 12 min,14248,14213,13802,114672,117282,104332
9 h 18 min,14258,14873,14138,115356,117943,105222
9 h 24 min,14590,14279,14423,115496,119122,105529
9 h 30 min,14392,14445,13945,117155,119775,106311
9 h 36 min,13992,14299,13927,117455,119749,105652
9 h 42 min,14517,14897,14335,118350,120734,106457
9 h 48 min,14534,13845,14371,119039,121799,107379
9 h 54 min,14464,14594,14126,117923,121389,106234
10 h,14574,14254,14431,119246,122688,106528
10 h 6 min,15008,14966,14088,119605,123140,107049
10 h 12 min,14493,14968,14296,118952,123216,106699
10 h 18 min,14630,14701,14527,119965,123562,107278
10 h 24 min,14085,14758,14145,120190,123472,107189
10 h 30 min,14662,14803,14037,121057,123441,107757
10 h 36 min,14971,14947,14442,119761,123623,107679
10 h 42 min,14785,15064,13927,120613,123964,107336
10 h 48 min,15034,15229,14434,120614,123567,107614
10 h 54 min,14797,15336,14539,120940,123965,106349
11 h,14399,15194,14607,120961,123890,107819
11 h 6 min,14751,14816,14689,120763,123608,106832
11 h 12 min,14932,15009,14585,121128,124152,108002
11 h 18 min,15066,15404,14411,121132,124237,107453
11 h 24 min,14696,15254,14556,121198,125280,107458
11 h 30 min,15119,15428,14733,121847,124240,108074
11 h 36 min,14779,15338,14406,120859,124644,107551
11 h 42 min,14811,15288,15034,121505,124567,108015
11 h 48 min,15011,15505,14335,121392,124570,107468
11 h 54 min,15764,15472,14762,121262,125234,107457
12 h,14814,15003,14574,121559,125328,107899
12 h 6 min,14782,15379,14090,121558,124744,107804
12 h 12 min,15121,15093,14517,121125,124984,108554
12 h 18 min,14703,14984,14694,121337,124907,108136
12 h 24 min,14840,15169,14687,121404,124867,108277
12 h 30 min,14660,14725,13886,121264,125142,108268
12 h 36 min,14514,14628,14554,121990,124355,108083
12 h 42 min,14459,15224,14405,121929,125325,108859
12 h 48 min,14478,14849,14141,122356,125663,108332
12 h 54 min,14238,14509,13723,121219,125375,107757
13 h,14804,14418,13988,122191,124811,108031
13 h 6 min,14190,14960,14170,121245,124685,108212
13 h 12 min,14434,14411,13958,122601,125225,109269
13 h 18 min,14296,14623,13900,122326,125562,108638
13 h 24 min,13930,14262,13868,122309,125241,108469
13 h 30 min,13964,14295,14040,121694,124551,108814
13 h 36 min,14231,14189,14025,121676,125132,108690
