time,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
0 h ,23786,23421,23370,25116,28272,25193,25186,27086,25461,20665,21770,22734,21257,22612,22786,23979,24931,24861,24707,25595,25506,19187,25856,25112,23081,23304,22857,26898,23422,24774,22155,25195,23438,24912,25160,22877,22413,22507,20640,24335,23868,23449,22432,24237,21257
0 h 10 min,15112,14486,15554,15423,21286,15057,15448,15286,15030,14577,13601,13866,13201,14923,13860,13764,14678,14376,16370,15996,15384,15938,16139,15661,13778,13909,13495,17525,13738,13869,12206,13929,12832,13579,14018,12850,12307,12121,11258,13729,13538,13750,12880,14804,13212
0 h 20 min,22748,20713,22046,22060,20797,22086,19547,19075,19689,19503,19324,19938,19528,23317,19636,17311,18073,18001,27255,28278,23926,22536,23177,22818,17082,18132,17832,15745,14926,14760,13144,15715,13985,15157,15690,13629,12945,12273,12047,14475,14366,14619,13229,15683,12263
0 h 30 min,36957,31119,34125,33483,30015,33840,25304,24858,24949,29591,30492,30315,31952,37604,29601,23275,24108,23602,44672,48774,41147,34456,35697,34648,22874,25024,23472,17097,16614,16464,14652,17681,15579,16923,17624,14988,13741,13167,12614,15188,15303,15545,14339,15926,13119
0 h 40 min,58777,46819,51585,52283,43721,49560,33602,33647,33985,43207,49339,48378,51961,56021,45826,31366,32824,31598,68622,75674,62077,51705,54286,53107,30457,33527,30498,19329,19020,18194,16867,19896,18100,18858,19998,16900,14589,14012,13525,15878,15642,16110,15118,17258,13885
0 h 50 min,86430,65967,73597,75728,63329,70820,44010,44033,43919,62671,74796,77516,75088,80181,66072,41976,43559,41293,97252,108521,88540,74170,76607,74991,38996,44243,40335,22270,21523,20177,19095,21952,20111,21254,22671,19075,15688,14789,14436,16787,16394,16753,15815,18213,14575
1 h ,121453,93872,101651,107042,86009,98166,55814,56241,56702,85599,107200,109524,103509,108119,90925,54557,56503,53487,131838,148541,120103,100694,103553,100735,53121,58056,53214,24040,24351,22838,21145,24254,22281,23458,24321,21204,16322,15371,15075,17441,17096,17713,16502,18986,15390
1 h 10 min,161068,123708,137984,140170,113593,127047,68168,70337,71120,114447,143081,143993,136873,146324,119041,69087,72815,65707,170921,198621,164000,133454,133158,130188,68823,73968,67276,26725,26529,24327,23458,26446,24556,25433,27005,23771,17344,16215,15293,18454,18010,18236,17323,19621,15795
1 h 20 min,202128,155406,167557,175110,141838,161359,82604,84265,85786,146107,187839,184991,176108,183277,146929,84313,89735,80256,217442,250733,201222,173895,166095,163457,83145,89827,80935,28428,29104,26861,24697,28947,26505,28152,29332,25715,17418,16347,16164,18834,18743,18962,18044,20217,16087
1 h 30 min,249440,191415,207562,218734,174401,196871,97155,101887,103129,181188,234507,230904,213918,223932,181263,102057,108583,97542,266518,303852,249234,214513,202082,196194,100016,107893,99104,31151,31701,29238,27204,31715,28907,30402,31646,27932,18251,17179,16766,19420,19515,19872,18926,21209,16574
