time,negative control,negative control,negative control,3 nM sfGFP,3 nM sfGFP,3 nM sfGFP
0 h ,46187,46173,47043,47299,46400,48014
0 h 1 min,46024,46120,47440,46838,46561,47871
0 h 2 min,46245,45482,46989,47014,46115,47862
0 h 3 min,45667,45516,46874,46842,46176,47875
0 h 4 min,45863,45553,46621,47125,46289,47797
0 h 5 min,45548,45960,47025,46867,46557,47794
0 h 6 min,45822,46094,46887,47573,46702,48734
0 h 7 min,45573,45935,47127,47657,47150,48562
0 h 8 min,45299,45559,46969,47731,47232,48804
0 h 9 min,45792,45860,46841,48759,48016,49253
0 h 10 min,45354,45580,47127,48811,47807,48947
0 h 11 min,45926,45839,47119,49406,48376,50163
0 h 12 min,45537,45949,47218,50050,48756,50595
0 h 13 min,45723,45722,46910,50568,49059,51060
0 h 14 min,45907,45851,47118,51418,49756,51748
0 h 15 min,45699,45785,46567,52329,50672,52534
0 h 16 min,45778,45888,47143,52602,51649,53288
0 h 17 min,45720,45975,46838,53636,52216,54488
0 h 18 min,45654,45923,46976,54509,53222,54875
0 h 19 min,45532,45652,46641,55315,54035,55916
0 h 20 min,45899,46062,46989,56476,54744,56792
0 h 21 min,46028,45987,46730,57671,56228,57544
0 h 22 min,45475,45989,46881,58462,56813,58750
0 h 23 min,45451,45778,46722,59381,57754,59674
0 h 24 min,45419,45760,46703,60569,58976,60323
0 h 25 min,45270,45789,46801,61544,60204,61382
0 h 26 min,44745,45715,46272,62937,61151,62701
0 h 27 min,45108,45321,46530,64127,62123,63641
0 h 28 min,45185,45348,46433,65369,63104,65335
0 h 29 min,45587,45525,46311,67012,64335,65883
0 h 30 min,45160,45631,46723,67203,65127,67509
0 h 31 min,44929,45427,46333,69017,66945,68818
0 h 32 min,45309,45375,46396,70047,67730,69932
0 h 33 min,45272,45156,46341,71757,69299,70723
0 h 34 min,44941,44943,46212,73301,70808,72019
0 h 35 min,44806,45229,46720,74449,71413,73464
0 h 36 min,45059,45237,46271,75639,72473,74619
0 h 37 min,44431,45469,46166,77165,74209,75781
0 h 38 min,44947,44792,46235,78500,75754,77512
0 h 39 min,44652,45183,46324,79832,77361,78807
0 h 40 min,44929,44766,45877,82035,78700,80031
0 h 41 min,44351,44874,46006,83384,79725,82241
