Parameter,Mean,log10stddev
k_tx,90.0,0.25
K_tx,15.0,0.25
k_rna_deg_cst,0.00078,1
k_rna_deg,0.00078,1
k_rna_km,100.0,0.5
k_tl,16.1,0.5
K_tl,65.8,0.5
k_prot_deg,0.0,0.25
k_mat,0.2,1
k_csy4,2.9,0.25
k_tl_unbound_toehold,0.0025,0.75
k_tl_bound_toehold,0.25,0.75
k_trigger_binding,0.078,0.75
k_trigger_unbinding,1.0,1
k_tx_init,1.0,1
k_star_bind,0.078,0.75
k_star_unbind,1.0,1
k_star_act,1.0,1
k_star_act_reg,0.1,1
k_star_stop,1.0,1
k_star_stop_reg,0.1,1
k_sequestration_bind,0.078,0.75
k_sequestration_unbind,1.0,1
